sleeve,side,entry_time,exit_time,bars,days,gross_contribution,max_notional
core,SHORT,2022-01-01 00:00:00,2022-02-02 00:15:00,3073,32.010416666666664,0.01599434749047339,0.048556196921248636
core,LONG,2022-02-02 00:15:00,2022-02-19 00:15:00,1632,17.0,0.001416163222379075,0.09353856306052324
core,SHORT,2022-02-19 00:15:00,2022-03-02 00:15:00,1056,11.0,-0.0034663078170168353,0.04167641146139073
core,LONG,2022-03-02 00:15:00,2022-04-08 00:15:00,3552,37.0,0.013270046066501104,0.1963996513595939
core,SHORT,2022-04-08 00:15:00,2022-06-25 00:15:00,7488,78.0,0.11289394648827575,0.196703476391091
core,LONG,2022-06-25 00:15:00,2022-07-01 00:15:00,576,6.0,-0.0038097683537405345,0.028151226654084774
core,SHORT,2022-07-01 00:15:00,2022-07-18 00:15:00,1632,17.0,-0.0280303472979289,0.10541387073428775
core,LONG,2022-07-18 00:15:00,2022-08-21 00:15:00,3264,34.0,0.007262574721070585,0.03721983559049019
core,SHORT,2022-08-21 00:15:00,2022-09-07 00:15:00,1632,17.0,-0.0055876697325209,0.13438944298230948
core,LONG,2022-09-07 00:15:00,2022-09-17 00:15:00,960,10.0,-0.005655394622386212,0.042267089719115254
core,SHORT,2022-09-17 00:15:00,2022-10-26 00:15:00,3744,39.0,-0.01036327064181376,0.2602842574893558
core,LONG,2022-10-26 00:15:00,2022-11-09 00:15:00,1344,14.0,0.009461814089430632,0.08971540568765107
core,SHORT,2022-11-09 00:15:00,2022-12-01 00:15:00,2112,22.0,0.029560195004369648,0.17590623697945035
core,LONG,2022-12-01 00:15:00,2022-12-08 00:15:00,672,7.0,-0.000949340781891639,0.03164597966625032
core,SHORT,2022-12-08 00:15:00,2022-12-14 00:15:00,576,6.0,-0.013074302444691006,0.2245626168514451
core,LONG,2022-12-14 00:15:00,2022-12-17 00:15:00,288,3.0,-0.007041381418165188,0.07431188127081957
core,SHORT,2022-12-17 00:15:00,2023-01-05 00:15:00,1824,19.0,-0.011897375212750916,0.2431298517420524
core,LONG,2023-01-05 00:15:00,2023-02-11 00:15:00,3552,37.0,0.016938151630408356,0.08481512002671523
core,SHORT,2023-02-11 00:15:00,2023-02-17 00:15:00,576,6.0,-0.021535645990963723,0.2044747931720529
core,LONG,2023-02-17 00:15:00,2023-03-11 00:15:00,2112,22.0,-0.01069371749321736,0.06456137870261686
core,SHORT,2023-03-11 00:15:00,2023-03-15 00:15:00,384,4.0,-0.03158921236432693,0.18298494203519092
core,LONG,2023-03-15 00:15:00,2023-04-26 00:15:00,4032,42.0,-0.001169807514235074,0.04362779645633656
core,SHORT,2023-04-26 00:15:00,2023-05-06 00:15:00,960,10.0,-0.010729357434133523,0.11986553825876534
core,LONG,2023-05-06 00:15:00,2023-05-13 00:15:00,672,7.0,-0.003940233272488719,0.03481744756649992
core,SHORT,2023-05-13 00:15:00,2023-05-24 00:15:00,1056,11.0,-0.005038288793364279,0.11107388784467077
core,LONG,2023-05-24 00:15:00,2023-06-06 00:15:00,1248,13.0,-0.001008124698017877,0.1380909486279265
core,SHORT,2023-06-06 00:15:00,2023-06-22 00:15:00,1536,16.0,-0.0001027425846918859,0.14421399710789537
core,LONG,2023-06-22 00:15:00,2023-07-25 00:15:00,3168,33.0,-0.0017660673655795528,0.1662211420878947
core,SHORT,2023-07-25 00:15:00,2023-08-30 00:15:00,3456,36.0,-0.007417288099601447,0.6
core,LONG,2023-08-30 00:15:00,2023-09-12 00:15:00,1248,13.0,-0.010951614110135933,0.2043086324612646
