adverse_move,gross_exposure,equity_after,maintenance_required,headroom,survives_assumption
0.2,0.5,0.9,0.0025,0.8975000000000001,True
0.2,1.0,0.8,0.005,0.795,True
0.2,15.0,-2.0,0.075,-2.075,False
0.35,0.5,0.825,0.0025,0.8225,True
0.35,1.0,0.65,0.005,0.645,True
0.35,15.0,-4.25,0.075,-4.325,False
0.5,0.5,0.75,0.0025,0.7475,True
0.5,1.0,0.5,0.005,0.495,True
0.5,15.0,-6.5,0.075,-6.575,False
0.7,0.5,0.65,0.0025,0.6475000000000001,True
0.7,1.0,0.30000000000000004,0.005,0.29500000000000004,True
0.7,15.0,-9.5,0.075,-9.575,False
