side,event_day,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,stop_fraction,notional,underlying_return,net_account_contribution,exit_reason,ambiguous_bar_loss_first
short,2020-02-03,2020-02-04 00:01:00,2020-02-05 18:48:00,187.57,196.03,195.8,171.10999999999996,0.043876952604361134,0.11395504252733876,-0.045103161486378385,-0.0052536877278250155,stop,False
short,2020-02-09,2020-02-10 00:01:00,2020-02-10 13:59:00,227.32,220.33,231.01,219.94,0.01623262361428822,0.3,0.030749604082350834,0.00892488122470525,target,False
short,2020-02-15,2020-02-16 00:01:00,2020-02-17 00:48:00,274.43,244.33,288.4,246.49000000000007,0.0509055132456363,0.09822118826055855,0.1096818860911708,0.010674863994273467,target,False
long,2020-02-27,2020-02-28 00:01:00,2020-03-06 00:01:00,231.94,231.4,210.0,275.82,0.09459342933517288,0.05285779398359162,-0.0023281883245667157,-0.0001759206927985424,time,False
long,2020-03-13,2020-03-14 00:01:00,2020-03-21 00:01:00,123.21,142.72,85.39,198.84999999999997,0.3069556042529015,0.01628900052882073,0.15834753672591506,0.00256303410893707,time,False
short,2020-04-19,2020-04-20 00:01:00,2020-04-23 22:21:00,179.49,189.57,189.39,159.69000000000005,0.05515627611566091,0.09065151515151537,-0.056159117499582134,-0.005181560606060617,stop,False
short,2020-04-25,2020-04-26 00:01:00,2020-04-26 21:21:00,192.17,198.55,198.43,179.64999999999995,0.032575323931935365,0.1534904153354628,-0.033199771036061865,-0.005249337060702866,stop,False
short,2020-04-26,2020-04-27 00:01:00,2020-04-29 14:02:00,194.36,202.23,200.37,182.34000000000003,0.030922000411607278,0.16169717138103187,-0.04049187075529925,-0.006709118136439247,stop,False
short,2020-04-30,2020-05-01 00:01:00,2020-05-08 00:01:00,207.38,206.4,227.37,167.39999999999998,0.09639309480181314,0.051870935467733845,0.004725624457517563,0.00019325162581290445,time,False
short,2020-05-31,2020-06-01 00:01:00,2020-06-02 07:05:00,233.47,247.63,247.7,205.01000000000002,0.06095001499121939,0.08203443429374567,-0.06065019060264709,-0.00505743851018975,stop,False
short,2020-06-02,2020-06-03 00:01:00,2020-06-10 00:01:00,233.88,243.47,255.03,191.57999999999998,0.090430990251411,0.05529078014184396,-0.0410039336411836,-0.0023224302600472852,time,False
