timestamp,setup_day,setup_high,setup_low,setup_range
2022-01-03,2022-01-02,3792.27,3717.08,0.020228243675142865
2022-01-14,2022-01-13,3416.5,3271.28,0.04439240908757425
2022-01-15,2022-01-14,3322.62,3185.54,0.04303195062689524
2022-01-16,2022-01-15,3370.69,3258.09,0.034560125717828516
2022-01-17,2022-01-16,3380.0,3270.0,0.033639143730886945
2022-01-29,2022-01-28,2495.77,2316.2,0.07752784733615403
2022-01-31,2022-01-30,2647.36,2527.23,0.047534256874127045
2022-02-07,2022-02-06,3054.74,2951.48,0.0349858376136718
2022-02-14,2022-02-13,2984.52,2862.75,0.04253602305475512
2022-02-28,2022-02-27,2855.0,2678.0,0.06609410007468264
2022-03-03,2022-03-02,3046.0,2896.16,0.05173747306778642
2022-03-06,2022-03-05,2697.68,2572.01,0.04886061873787417
2022-03-07,2022-03-06,2687.8,2587.8,0.038642862663266
2022-03-13,2022-03-12,2600.0,2526.42,0.02912421529278575
2022-03-27,2022-03-26,3140.0,3075.43,0.0209954380363071
2022-04-11,2022-04-10,3268.91,3202.3,0.020800674515192075
2022-04-17,2022-04-16,3065.0,3008.56,0.018759805355385906
2022-04-24,2022-04-23,2982.72,2911.72,0.02438421276771119
2022-04-25,2022-04-24,2978.0,2912.0,0.022664835164835084
2022-05-08,2022-05-07,2713.73,2652.75,0.022987465837338572
2022-05-16,2022-05-15,2099.87,1954.58,0.07433310481024047
2022-05-18,2022-05-17,2123.69,1978.2,0.07354665857850562
2022-05-20,2022-05-19,2040.76,1902.15,0.07287017322503475
2022-05-21,2022-05-20,2064.39,1951.02,0.058108066549804605
2022-05-22,2022-05-21,1989.11,1922.28,0.03476600703331467
2022-05-30,2022-05-29,1829.0,1758.86,0.039878102862081155
2022-06-05,2022-06-04,1795.69,1743.07,0.030188116369394224
2022-06-06,2022-06-05,1816.75,1766.64,0.028364579087986286
2022-06-18,2022-06-17,1134.3,1050.22,0.08005941612233625
2022-06-26,2022-06-25,1247.0,1181.5,0.055438002539145215
2022-07-03,2022-07-02,1092.71,1027.28,0.06369246943384477
2022-07-04,2022-07-03,1089.0,1040.2,0.046914054989425136
2022-07-10,2022-07-09,1255.24,1204.76,0.04190046150270588
2022-07-21,2022-07-20,1622.1,1510.58,0.07382594764924733
2022-07-24,2022-07-23,1596.67,1501.0,0.06373750832778158
2022-07-31,2022-07-30,1766.56,1668.02,0.059076030263426116
2022-08-01,2022-07-31,1737.9,1673.0,0.03879258816497311
2022-08-08,2022-08-07,1724.49,1668.0,0.03386690647482005
2022-08-13,2022-08-12,1914.7,1852.0,0.033855291576673885
2022-08-15,2022-08-14,2031.54,1967.0,0.03281138790035576
2022-08-26,2022-08-25,1722.0,1651.0,0.04300423985463353
2022-09-05,2022-09-04,1584.0,1535.0,0.0319218241042345
2022-09-11,2022-09-10,1745.3,1695.62,0.02929901746853658
2022-09-18,2022-09-17,1456.49,1405.0,0.03664768683274011
2022-09-26,2022-09-25,1348.55,1297.0,0.03974556669236695
2022-10-02,2022-10-01,1362.0,1316.0,0.0349544072948329
2022-10-03,2022-10-02,1324.8,1283.83,0.031912324840516204
2022-10-09,2022-10-08,1337.79,1316.11,0.016472787229031116
2022-10-17,2022-10-16,1290.53,1263.2,0.021635528815706184
2022-10-23,2022-10-22,1319.0,1294.11,0.019233295469473388
2022-10-24,2022-10-23,1320.6,1299.0,0.016628175519630473
2022-11-06,2022-11-05,1668.18,1607.88,0.03750279871632212
2022-11-07,2022-11-06,1642.93,1607.39,0.02211037769303026
2022-11-18,2022-11-17,1228.98,1181.1,0.04053848107696223
2022-11-19,2022-11-18,1235.0,1189.01,0.03867923734871859
2022-11-20,2022-11-19,1215.99,1195.0,0.017564853556485405
2022-11-28,2022-11-27,1222.88,1196.0,0.022474916387960064
2022-12-07,2022-12-06,1270.82,1241.0,0.024029008863819534
2022-12-11,2022-12-10,1279.8,1255.0,0.019760956175298716
2022-12-12,2022-12-11,1284.54,1262.0,0.017860538827258354
2022-12-19,2022-12-18,1196.0,1170.16,0.02208245026321176
2022-12-20,2022-12-19,1195.0,1173.22,0.018564293141951183
2022-12-22,2022-12-21,1222.8,1203.28,0.016222325643241886
2022-12-25,2022-12-24,1222.62,1214.7,0.006520128426771965
2023-01-01,2022-12-31,1209.0,1191.88,0.014363862133771832
2023-01-02,2023-01-01,1206.5,1191.0,0.013014273719563318
2023-01-21,2023-01-20,1569.84,1522.12,0.031351010432817406
2023-01-25,2023-01-24,1641.88,1603.0,0.024254522769806774
2023-02-02,2023-02-01,1606.0,1563.28,0.027327158282585362
2023-02-07,2023-02-06,1650.65,1608.0,0.02652363184079598
2023-02-20,2023-02-19,1726.84,1679.0,0.028493150684931523
