setup_day,setup_available_time,release_bar_time,available_time,side,setup_high,setup_low,setup_range
2020-01-11,2020-01-12,2020-01-12 00:48:00,2020-01-12 00:49:00,long,145.35,140.76,0.032608695652173836
2020-01-20,2020-01-21,2020-01-21 03:50:00,2020-01-21 03:51:00,long,167.63,161.36,0.03885721368368844
2020-01-21,2020-01-22,2020-01-22 03:40:00,2020-01-22 03:41:00,short,169.24,165.68,0.021487204249154956
2020-02-19,2020-02-20,2020-02-20 04:38:00,2020-02-20 04:39:00,short,286.28,272.38,0.05103164696380058
2020-02-22,2020-02-23,2020-02-23 12:03:00,2020-02-23 12:04:00,long,268.35,255.77,0.04918481448176104
2020-03-04,2020-03-05,2020-03-05 13:52:00,2020-03-05 13:53:00,long,228.63,219.92,0.03960531102218989
2020-03-26,2020-03-27,2020-03-27 07:29:00,2020-03-27 07:30:00,long,138.58,133.17,0.04062476533753867
2020-04-01,2020-04-02,2020-04-02 00:02:00,2020-04-02 00:03:00,short,135.0,130.33,0.03583211846850287
2020-04-15,2020-04-16,2020-04-16 07:02:00,2020-04-16 07:03:00,short,161.82,154.94,0.044404285529882515
2020-04-17,2020-04-18,2020-04-18 07:30:00,2020-04-18 07:31:00,long,174.79,168.24,0.038932477413219146
2020-04-24,2020-04-25,2020-04-25 13:15:00,2020-04-25 13:16:00,long,190.85,182.61,0.045123487213186486
2020-04-28,2020-04-29,2020-04-29 10:02:00,2020-04-29 10:03:00,long,197.63,191.18,0.033737838686054955
2020-05-02,2020-05-03,2020-05-03 00:31:00,2020-05-03 00:32:00,long,214.29,208.27,0.02890478705526478
2020-05-09,2020-05-10,2020-05-10 08:14:00,2020-05-10 08:15:00,short,215.0,208.43,0.03152137408242561
2020-05-19,2020-05-20,2020-05-20 23:20:00,2020-05-20 23:21:00,short,216.07,208.97,0.033976168828061315
2020-05-23,2020-05-24,2020-05-24 22:00:00,2020-05-24 22:01:00,short,211.17,204.44,0.03291919389551934
2020-06-03,2020-06-04,2020-06-04 02:41:00,2020-06-04 02:42:00,long,240.71,232.31,0.0361585812061469
2020-06-06,2020-06-07,2020-06-07 20:00:00,2020-06-07 20:01:00,short,244.84,238.0,0.02873949579831936
2020-06-10,2020-06-11,2020-06-11 02:36:00,2020-06-11 02:37:00,long,245.33,240.5,0.020083160083160134
2020-06-13,2020-06-14,2020-06-14 15:00:00,2020-06-14 15:01:00,short,238.6,234.06,0.01939673587968893
2020-06-21,2020-06-22,2020-06-22 09:53:00,2020-06-22 09:54:00,long,231.39,226.24,0.022763437057991442
2020-07-04,2020-07-05,2020-07-05 01:34:00,2020-07-05 01:35:00,long,227.46,224.23,0.014404852160727843
2020-07-11,2020-07-12,2020-07-12 21:18:00,2020-07-12 21:19:00,long,241.66,237.58,0.01717316272413494
2020-07-15,2020-07-16,2020-07-16 00:00:00,2020-07-16 00:01:00,short,242.0,238.0,0.01680672268907557
2020-07-17,2020-07-18,2020-07-18 17:05:00,2020-07-18 17:06:00,long,234.88,231.75,0.013505933117583524
2020-07-30,2020-07-31,2020-07-31 01:12:00,2020-07-31 01:13:00,long,323.61,314.2,0.0299490770210058
2020-08-10,2020-08-11,2020-08-11 21:15:00,2020-08-11 21:16:00,short,400.0,384.52,0.040257983980027
2020-08-23,2020-08-24,2020-08-24 15:00:00,2020-08-24 15:01:00,long,397.0,383.66,0.03477036959808166
2020-08-29,2020-08-30,2020-08-30 02:44:00,2020-08-30 02:45:00,long,404.24,390.81,0.034364524960978526
2020-09-08,2020-09-09,2020-09-09 06:17:00,2020-09-09 06:18:00,short,356.6,331.07,0.07711360135318834
2020-09-11,2020-09-12,2020-09-12 06:11:00,2020-09-12 06:12:00,long,373.51,355.69,0.05009980601085218
2020-09-12,2020-09-13,2020-09-13 02:04:00,2020-09-13 02:05:00,long,375.04,364.5,0.028916323731138505
2020-09-19,2020-09-20,2020-09-20 20:18:00,2020-09-20 20:19:00,short,388.65,375.31,0.03554395033439017
2020-09-26,2020-09-27,2020-09-27 08:47:00,2020-09-27 08:48:00,long,357.8,345.11,0.03677088464547529
2020-09-30,2020-10-01,2020-10-01 07:21:00,2020-10-01 07:22:00,long,360.6,351.57,0.02568478539124497
2020-10-03,2020-10-04,2020-10-04 02:15:00,2020-10-04 02:16:00,long,349.9,341.32,0.025137700691433285
2020-10-04,2020-10-05,2020-10-05 02:11:00,2020-10-05 02:12:00,long,351.0,344.0,0.02034883720930236
2020-10-11,2020-10-12,2020-10-12 18:42:00,2020-10-12 18:43:00,short,377.95,368.95,0.02439354926141757
2020-10-17,2020-10-18,2020-10-18 14:43:00,2020-10-18 14:44:00,long,370.8,363.0,0.02148760330578514
2020-11-01,2020-11-02,2020-11-02 04:20:00,2020-11-02 04:21:00,long,390.68,383.36,0.01909432387312182
2020-11-15,2020-11-16,2020-11-16 01:07:00,2020-11-16 01:08:00,short,462.3,450.6,0.025965379494008012
2020-11-29,2020-11-30,2020-11-30 05:01:00,2020-11-30 05:02:00,long,558.8,530.59,0.0531672289338283
2020-12-07,2020-12-08,2020-12-08 02:18:00,2020-12-08 02:19:00,short,604.18,589.93,0.0241554082687776
2020-12-15,2020-12-16,2020-12-16 20:21:00,2020-12-16 20:22:00,long,597.75,578.62,0.03306142200407858
2021-01-01,2021-01-02,2021-01-02 02:41:00,2021-01-02 02:42:00,short,749.49,724.31,0.03476412033521559
2021-01-09,2021-01-10,2021-01-10 04:23:00,2021-01-10 04:24:00,long,1241.39,1134.44,0.09427558971827521
2021-01-18,2021-01-19,2021-01-19 08:01:00,2021-01-19 08:02:00,long,1270.82,1182.88,0.07434397402948711
2021-01-23,2021-01-24,2021-01-24 11:55:00,2021-01-24 11:56:00,long,1273.38,1195.58,0.06507301895314432
2021-01-30,2021-01-31,2021-01-31 23:34:00,2021-01-31 23:35:00,short,1412.01,1311.81,0.07638301278386361
2021-02-01,2021-02-02,2021-02-02 05:55:00,2021-02-02 05:56:00,long,1347.26,1269.51,0.06124410205512354
2021-02-12,2021-02-13,2021-02-13 00:25:00,2021-02-13 00:26:00,long,1813.15,1739.85,0.04213006868408198
2021-02-14,2021-02-15,2021-02-15 09:22:00,2021-02-15 09:23:00,short,1854.9,1783.38,0.04010362345658236
2021-02-19,2021-02-20,2021-02-20 00:20:00,2021-02-20 00:21:00,long,1952.75,1893.77,0.031144225539532222
2021-03-02,2021-03-03,2021-03-03 00:57:00,2021-03-03 00:58:00,short,1603.63,1502.66,0.0671941756618264
2021-03-10,2021-03-11,2021-03-11 16:00:00,2021-03-11 16:01:00,short,1879.5,1758.0,0.0691126279863481
2021-03-14,2021-03-15,2021-03-15 00:03:00,2021-03-15 00:04:00,short,1947.0,1846.43,0.05446726927097156
