side,setup_day,release_bar_time,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,notional,underlying_return,net_account_contribution,exit_reason,ambiguous_bar_loss_first
long,2020-01-11,2020-01-12 00:48:00,2020-01-12 00:49:00,2020-01-14 00:49:00,145.73,142.97,140.76,155.67,0.14660965794768616,-0.018939134014959058,-0.0029232696177062217,time,False
long,2020-01-20,2020-01-21 03:50:00,2020-01-21 03:51:00,2020-01-23 03:51:00,167.63,168.1,161.36,180.16999999999996,0.13367623604465748,0.0028037940702738684,0.00024112440191388312,time,False
short,2020-01-21,2020-01-22 03:40:00,2020-01-22 03:41:00,2020-01-22 05:03:00,165.55,169.75,169.24,158.17000000000002,0.22432249322493242,-0.025369978858350795,-0.005915379403794007,stop,False
short,2020-02-19,2020-02-20 04:38:00,2020-02-20 04:39:00,2020-02-22 04:39:00,271.52,262.78,286.28,242.0,0.09197831978319788,0.032189157336476204,0.002868726287262881,time,False
long,2020-02-22,2020-02-23 12:03:00,2020-02-23 12:04:00,2020-02-25 12:04:00,268.46,261.86,255.77,293.8399999999999,0.10577620173364878,-0.024584668106980456,-0.0027062490149724148,time,False
long,2020-03-04,2020-03-05 13:52:00,2020-03-05 13:53:00,2020-03-07 13:53:00,228.68,243.35,219.92,246.20000000000005,0.13052511415525087,0.06415077838026928,0.008242762557077597,time,False
long,2020-03-26,2020-03-27 07:29:00,2020-03-27 07:30:00,2020-03-28 07:44:00,139.04,132.42,133.17,150.78,0.11843270868824522,-0.04761219792865368,-0.005757274275979558,stop,False
short,2020-04-01,2020-04-02 00:02:00,2020-04-02 00:03:00,2020-04-02 07:31:00,129.88,134.71,135.0,119.63999999999999,0.12683593749999988,-0.0371881736987989,-0.004843632812499997,stop,False
short,2020-04-15,2020-04-16 07:02:00,2020-04-16 07:03:00,2020-04-16 15:17:00,154.02,161.02,161.82,138.42000000000004,0.09873076923076946,-0.04544864303337226,-0.004585910256410264,stop,False
long,2020-04-17,2020-04-18 07:30:00,2020-04-18 07:31:00,2020-04-19 06:47:00,174.92,187.94,168.24,188.27999999999994,0.13092814371257525,0.074434026983764,0.009614580838323382,target,False
long,2020-04-24,2020-04-25 13:15:00,2020-04-25 13:16:00,2020-04-27 13:16:00,191.09,196.92,182.61,208.04999999999998,0.11267099056603787,0.03050918415406345,0.0033248290094339576,time,False
long,2020-04-28,2020-04-29 10:02:00,2020-04-29 10:03:00,2020-04-30 00:19:00,198.11,211.82,191.18,211.97000000000003,0.1429365079365078,0.06920397758820851,0.009748838383838365,target,False
long,2020-05-02,2020-05-03 00:31:00,2020-05-03 00:32:00,2020-05-03 22:51:00,214.51,208.17,208.27,226.98999999999995,0.17188301282051335,-0.029555731667521346,-0.005252011217948737,stop,False
short,2020-05-09,2020-05-10 08:14:00,2020-05-10 08:15:00,2020-05-10 08:19:00,208.1,193.86,215.0,194.29999999999998,0.15079710144927524,0.06842864007688598,0.010168043478260842,target,False
short,2020-05-19,2020-05-20 23:20:00,2020-05-20 23:21:00,2020-05-22 23:21:00,207.55,204.57,216.07,190.51000000000005,0.12180164319248854,0.014357986027463299,0.001627024647887332,time,False
short,2020-05-23,2020-05-24 22:00:00,2020-05-24 22:01:00,2020-05-26 22:01:00,203.95,201.21,211.17,189.51,0.14123961218836564,0.013434665359156606,0.0017562673130193834,time,False
long,2020-06-03,2020-06-04 02:41:00,2020-06-04 02:42:00,2020-06-06 02:42:00,240.91,242.86,232.31,258.11,0.1400639534883722,0.008094309078078954,0.0009936569767441871,time,False
short,2020-06-06,2020-06-07 20:00:00,2020-06-07 20:01:00,2020-06-08 07:01:00,237.31,244.37,244.84,222.25,0.15757636122177954,-0.02975011588217935,-0.004845491367861873,stop,False
long,2020-06-10,2020-06-11 02:36:00,2020-06-11 02:37:00,2020-06-11 21:19:00,247.4,241.06,240.5,261.20000000000005,0.17927536231884042,-0.025626515763945035,-0.004773478260869562,stop,False
short,2020-06-13,2020-06-14 15:00:00,2020-06-14 15:01:00,2020-06-15 11:38:00,234.07,225.82,238.6,225.01,0.25835540838852095,0.0352458666210963,0.008847604856512153,target,False
long,2020-06-21,2020-06-22 09:53:00,2020-06-22 09:54:00,2020-06-23 00:13:00,232.13,243.73,226.24,243.90999999999997,0.19705432937181708,0.049971998449144905,0.009650144312393916,target,False
long,2020-07-04,2020-07-05 01:34:00,2020-07-05 01:35:00,2020-07-05 17:58:00,227.84,224.36,224.23,235.06000000000003,0.3,-0.015273876404494291,-0.004882162921348287,stop,False
long,2020-07-11,2020-07-12 21:18:00,2020-07-12 21:19:00,2020-07-12 21:37:00,242.88,238.0,237.58,253.47999999999996,0.22913207547169884,-0.020092226613965702,-0.004832905660377364,stop,False
short,2020-07-15,2020-07-16 00:00:00,2020-07-16 00:01:00,2020-07-18 00:01:00,237.97,233.33,242.0,229.91,0.29524813895781626,0.019498256082699394,0.005461575682382101,time,False
long,2020-07-17,2020-07-18 17:05:00,2020-07-18 17:06:00,2020-07-20 17:06:00,235.18,238.98,231.75,242.04000000000002,0.3,0.01615783655072711,0.004547350965218133,time,False
long,2020-07-30,2020-07-31 01:12:00,2020-07-31 01:13:00,2020-07-31 04:17:00,323.74,341.2,314.2,342.82000000000005,0.1696750524109011,0.05393216778896637,0.00898126834381548,target,False
short,2020-08-10,2020-08-11 21:15:00,2020-08-11 21:16:00,2020-08-13 21:16:00,384.15,387.58,400.0,352.44999999999993,0.12118296529968435,-0.008928803852661815,-0.001203201892744489,time,False
long,2020-08-23,2020-08-24 15:00:00,2020-08-24 15:01:00,2020-08-25 22:10:00,398.22,385.47,383.66,427.34000000000003,0.1367513736263736,-0.03201747777610364,-0.004515185439560436,stop,False
long,2020-08-29,2020-08-30 02:44:00,2020-08-30 02:45:00,2020-08-31 19:33:00,404.34,431.35,390.81,431.3999999999999,0.14942350332594265,0.0668002176386211,0.00983209903917225,target,False
short,2020-09-08,2020-09-09 06:17:00,2020-09-09 06:18:00,2020-09-10 02:41:00,327.41,357.21,356.6,269.03000000000003,0.05608256252141145,-0.09101737882166083,-0.0051605704008221955,stop,False
long,2020-09-11,2020-09-12 06:11:00,2020-09-12 06:12:00,2020-09-14 00:51:00,374.51,355.32,355.69,412.15,0.09949787460148782,-0.05124028730875008,-0.005197797555791711,stop,False
short,2020-09-19,2020-09-20 20:18:00,2020-09-20 20:19:00,2020-09-21 22:29:00,372.01,338.6,388.65,338.73,0.11178185096153855,0.08980941372543738,0.009927280649038457,target,False
long,2020-09-26,2020-09-27 08:47:00,2020-09-27 08:48:00,2020-09-29 08:48:00,359.32,355.17,345.11,387.73999999999995,0.12643209007741046,-0.011549593676945302,-0.0015866713581984492,time,False
long,2020-09-30,2020-10-01 07:21:00,2020-10-01 07:22:00,2020-10-02 00:43:00,360.74,349.22,351.57,379.08000000000004,0.1966957470010902,-0.03193435715473747,-0.006478047982551786,stop,False
long,2020-10-03,2020-10-04 02:15:00,2020-10-04 02:16:00,2020-10-06 02:16:00,350.06,350.56,341.32,367.54,0.20026315789473664,0.0014283265725876237,8.577803203662664e-05,time,False
short,2020-10-11,2020-10-12 18:42:00,2020-10-12 18:43:00,2020-10-12 21:39:00,367.15,377.77,377.95,345.54999999999995,0.16997685185185166,-0.028925507285850527,-0.0050866435185185225,stop,False
long,2020-10-17,2020-10-18 14:43:00,2020-10-18 14:44:00,2020-10-20 14:44:00,372.98,379.03,363.0,392.94000000000005,0.18686372745490948,0.01622070888519489,0.002844198396793577,time,False
long,2020-11-01,2020-11-02 04:20:00,2020-11-02 04:21:00,2020-11-02 16:58:00,390.86,384.66,383.36,405.86,0.2605733333333333,-0.01586245714578105,-0.004393906666666654,stop,False
short,2020-11-15,2020-11-16 01:07:00,2020-11-16 01:08:00,2020-11-17 00:32:00,449.89,462.3,462.3,425.06999999999994,0.18126107977437514,-0.027584520660606016,-0.005181261079774381,stop,False
long,2020-11-29,2020-11-30 05:01:00,2020-11-30 05:02:00,2020-12-01 18:08:00,561.22,623.43,530.59,622.48,0.09161279791054525,0.11084779587327587,0.010063463924257249,target,False
short,2020-12-07,2020-12-08 02:18:00,2020-12-08 02:19:00,2020-12-09 07:00:00,588.33,555.0,604.18,556.6300000000002,0.18559305993690958,0.056651879047473375,0.010328602523659369,target,False
long,2020-12-15,2020-12-16 20:21:00,2020-12-16 20:22:00,2020-12-17 07:18:00,598.66,638.22,578.62,638.7399999999999,0.14936626746507012,0.06608091404135918,0.009720893213572893,target,False
short,2021-01-01,2021-01-02 02:41:00,2021-01-02 02:42:00,2021-01-02 20:45:00,723.09,751.3,749.49,670.2900000000001,0.13694886363636377,-0.03901312423073189,-0.005479751893939384,stop,False
long,2021-01-09,2021-01-10 04:23:00,2021-01-10 04:24:00,2021-01-11 11:17:00,1243.64,1133.64,1134.44,1462.0400000000002,0.056943223443223424,-0.08845003377183103,-0.005093573260073255,stop,False
