definition,side,signal_available_time,exit_time,gross_return_24h,net_return_24h
adjacent_fast,long,2022-01-13 00:00:00,2022-01-14 00:00:00,-0.01752809523667831,-0.01852809523667831
adjacent_fast,long,2022-02-01 12:00:00,2022-02-02 12:00:00,0.010760506034608097,0.009760506034608096
adjacent_fast,long,2022-02-05 04:00:00,2022-02-06 04:00:00,0.017837830530470944,0.016837830530470943
adjacent_fast,long,2022-02-08 04:00:00,2022-02-09 04:00:00,-0.03648890586961118,-0.03748890586961118
adjacent_fast,long,2022-02-10 04:00:00,2022-02-11 04:00:00,-0.03887915181720447,-0.03987915181720447
adjacent_fast,long,2022-02-16 08:00:00,2022-02-17 08:00:00,-0.020039293964045357,-0.021039293964045358
adjacent_fast,long,2022-03-01 08:00:00,2022-03-02 08:00:00,0.018787843522489522,0.01778784352248952
adjacent_fast,long,2022-03-09 12:00:00,2022-03-10 12:00:00,-0.015053723601333835,-0.016053723601333836
adjacent_fast,long,2022-03-16 04:00:00,2022-03-17 04:00:00,0.03564082412355085,0.03464082412355085
adjacent_fast,long,2022-03-19 00:00:00,2022-03-20 00:00:00,0.02434037850531845,0.02334037850531845
adjacent_fast,long,2022-03-19 04:00:00,2022-03-20 04:00:00,-0.005440259946001835,-0.006440259946001835
adjacent_fast,long,2022-03-22 12:00:00,2022-03-23 12:00:00,-0.020234529030198845,-0.021234529030198845
adjacent_fast,long,2022-03-25 20:00:00,2022-03-26 20:00:00,-0.01408032732025477,-0.015080327320254772
adjacent_fast,long,2022-03-28 08:00:00,2022-03-29 08:00:00,0.011376805878319685,0.010376805878319684
adjacent_fast,long,2022-03-29 20:00:00,2022-03-30 20:00:00,-0.01645528699336707,-0.01745528699336707
adjacent_fast,long,2022-04-20 00:00:00,2022-04-21 00:00:00,-0.013448878831516242,-0.014448878831516243
adjacent_fast,long,2022-05-31 08:00:00,2022-06-01 08:00:00,-0.028034764508978793,-0.029034764508978794
adjacent_fast,long,2022-06-06 12:00:00,2022-06-07 12:00:00,-0.06472486738671956,-0.06572486738671957
adjacent_fast,long,2022-06-24 20:00:00,2022-06-25 20:00:00,0.018094058991818596,0.017094058991818595
adjacent_fast,long,2022-06-26 20:00:00,2022-06-27 20:00:00,-0.03854639435199181,-0.03954639435199181
adjacent_fast,long,2022-07-05 08:00:00,2022-07-06 08:00:00,-0.01602683887116807,-0.01702683887116807
adjacent_fast,long,2022-07-08 00:00:00,2022-07-09 00:00:00,0.01303374839127458,0.012033748391274579
adjacent_fast,long,2022-07-08 04:00:00,2022-07-09 04:00:00,-0.006458747355599814,-0.007458747355599814
adjacent_fast,long,2022-07-15 04:00:00,2022-07-16 04:00:00,0.06038604865385411,0.05938604865385411
adjacent_fast,long,2022-07-16 04:00:00,2022-07-17 04:00:00,0.055067679623458154,0.054067679623458154
adjacent_fast,long,2022-07-19 08:00:00,2022-07-20 08:00:00,-0.02473328400589392,-0.02573328400589392
adjacent_fast,long,2022-08-05 20:00:00,2022-08-06 20:00:00,-0.0005078571928922582,-0.0015078571928922582
adjacent_fast,long,2022-08-06 08:00:00,2022-08-07 08:00:00,-0.026638565456241547,-0.02763856545624155
adjacent_fast,long,2022-08-08 20:00:00,2022-08-09 20:00:00,-0.04761292702145381,-0.04861292702145381
adjacent_fast,long,2022-08-11 00:00:00,2022-08-12 00:00:00,0.028972807036641957,0.027972807036641956
adjacent_fast,long,2022-08-13 08:00:00,2022-08-14 08:00:00,0.01292533334695145,0.01192533334695145
adjacent_fast,long,2022-08-13 12:00:00,2022-08-14 12:00:00,-0.005424900443309011,-0.006424900443309011
adjacent_fast,long,2022-08-25 16:00:00,2022-08-26 16:00:00,-0.027766067078883183,-0.028766067078883184
adjacent_fast,long,2022-09-27 12:00:00,2022-09-28 12:00:00,-0.07100681411329901,-0.07200681411329901
adjacent_fast,long,2022-10-24 04:00:00,2022-10-25 04:00:00,0.010657327100275227,0.009657327100275226
adjacent_fast,long,2022-10-24 08:00:00,2022-10-25 08:00:00,-0.01491442901347717,-0.01591442901347717
adjacent_fast,long,2022-10-26 00:00:00,2022-10-27 00:00:00,0.11366186978818926,0.11266186978818926
adjacent_fast,long,2022-11-30 12:00:00,2022-12-01 12:00:00,0.017772895741301253,0.016772895741301252
adjacent_fast,long,2023-01-04 12:00:00,2023-01-05 12:00:00,0.0020713206068407874,0.0010713206068407874
adjacent_fast,long,2023-01-09 08:00:00,2023-01-10 08:00:00,0.023502418454669716,0.022502418454669715
adjacent_fast,long,2023-01-12 08:00:00,2023-01-13 08:00:00,0.01907907994357605,0.01807907994357605
adjacent_fast,long,2023-01-21 08:00:00,2023-01-22 08:00:00,-0.0190142033808387,-0.020014203380838702
adjacent_fast,long,2023-01-30 04:00:00,2023-01-31 04:00:00,-0.060771744974957964,-0.061771744974957965
adjacent_fast,long,2023-02-15 20:00:00,2023-02-16 20:00:00,0.07127723874662006,0.07027723874662006
adjacent_fast,long,2023-02-16 04:00:00,2023-02-17 04:00:00,0.04994998250922089,0.04894998250922089
adjacent_fast,long,2023-02-16 08:00:00,2023-02-17 08:00:00,-0.021829081160475994,-0.022829081160475995
adjacent_fast,long,2023-03-13 08:00:00,2023-03-14 08:00:00,0.05922006241019839,0.05822006241019839
adjacent_fast,long,2023-03-14 00:00:00,2023-03-15 00:00:00,0.06150313002182606,0.06050313002182606
adjacent_fast,long,2023-03-18 08:00:00,2023-03-19 08:00:00,-0.017292724763517175,-0.018292724763517176
adjacent_fast,long,2023-04-01 00:00:00,2023-04-02 00:00:00,-0.0052984039240963066,-0.006298403924096307
adjacent_fast,long,2023-04-04 20:00:00,2023-04-05 20:00:00,0.026653292639099657,0.025653292639099656
adjacent_fast,long,2023-04-05 12:00:00,2023-04-06 12:00:00,-0.007161638708395923,-0.008161638708395924
adjacent_fast,long,2023-04-11 08:00:00,2023-04-12 08:00:00,-0.0106411934048678,-0.0116411934048678
adjacent_fast,long,2023-04-13 20:00:00,2023-04-14 20:00:00,0.0653792297540976,0.0643792297540976
adjacent_fast,long,2023-04-26 20:00:00,2023-04-27 20:00:00,-0.01717363817803741,-0.01817363817803741
adjacent_fast,long,2023-04-27 00:00:00,2023-04-28 00:00:00,-0.027615713730066105,-0.028615713730066106
adjacent_fast,long,2023-05-23 12:00:00,2023-05-24 12:00:00,-0.02308013982114898,-0.024080139821148983
adjacent_fast,long,2023-05-29 08:00:00,2023-05-30 08:00:00,-0.008636492191018919,-0.00963649219101892
adjacent_fast,long,2023-06-22 12:00:00,2023-06-23 12:00:00,-0.019437814626825256,-0.020437814626825257
adjacent_fast,long,2023-07-03 16:00:00,2023-07-04 16:00:00,-0.009515144429930067,-0.010515144429930068
adjacent_fast,long,2023-07-11 04:00:00,2023-07-12 04:00:00,-0.013306103543381798,-0.014306103543381798
adjacent_fast,long,2023-08-30 00:00:00,2023-08-31 00:00:00,-0.0070800482492175965,-0.008080048249217597
adjacent_fast,long,2023-09-27 20:00:00,2023-09-28 20:00:00,-0.0036078046386058826,-0.004607804638605883
adjacent_fast,long,2023-09-29 16:00:00,2023-09-30 16:00:00,-0.008674770234212925,-0.009674770234212926
adjacent_fast,long,2023-10-23 08:00:00,2023-10-24 08:00:00,0.06217990333982537,0.06117990333982537
adjacent_fast,long,2023-10-23 12:00:00,2023-10-24 12:00:00,0.06816665978054925,0.06716665978054925
adjacent_fast,long,2023-11-05 12:00:00,2023-11-06 12:00:00,-0.0008787811411450352,-0.0018787811411450353
adjacent_fast,long,2023-11-09 12:00:00,2023-11-10 12:00:00,0.10544800812902211,0.10444800812902211
adjacent_fast,long,2023-11-10 00:00:00,2023-11-11 00:00:00,0.025453046563323367,0.024453046563323366
adjacent_fast,long,2023-12-08 00:00:00,2023-12-09 00:00:00,0.010598621877691672,0.009598621877691671
adjacent_fast,long,2024-01-09 04:00:00,2024-01-10 04:00:00,-0.03591411178373416,-0.03691411178373416
adjacent_fast,long,2024-01-11 20:00:00,2024-01-12 20:00:00,-0.0038427664907750847,-0.004842766490775085
adjacent_fast,long,2024-01-30 08:00:00,2024-01-31 08:00:00,0.011384331224484567,0.010384331224484566
adjacent_fast,long,2024-01-31 00:00:00,2024-02-01 00:00:00,-0.004998141716541227,-0.005998141716541227
adjacent_fast,long,2024-02-07 04:00:00,2024-02-08 04:00:00,0.017189339162603012,0.01618933916260301
adjacent_fast,long,2024-02-08 04:00:00,2024-02-09 04:00:00,0.0009505349858864864,-4.946501411351358e-05
adjacent_fast,long,2024-02-09 00:00:00,2024-02-10 00:00:00,0.01672901842840946,0.015729018428409458
adjacent_fast,long,2024-02-09 20:00:00,2024-02-10 20:00:00,-0.00768696013488146,-0.00868696013488146
adjacent_fast,long,2024-02-11 12:00:00,2024-02-12 12:00:00,-0.011539601905477315,-0.012539601905477316
adjacent_fast,long,2024-03-26 04:00:00,2024-03-27 04:00:00,-0.02176850570166755,-0.022768505701667552
adjacent_fast,long,2024-04-08 08:00:00,2024-04-09 08:00:00,0.07002895193978009,0.06902895193978009
adjacent_fast,long,2024-04-08 20:00:00,2024-04-09 20:00:00,-0.00017335457614808814,-0.0011733545761480882
adjacent_fast,long,2024-04-09 04:00:00,2024-04-10 04:00:00,-0.05013848620806949,-0.05113848620806949
adjacent_fast,long,2024-04-28 12:00:00,2024-04-29 12:00:00,-0.03955751677446662,-0.04055751677446662
adjacent_fast,long,2024-05-06 16:00:00,2024-05-07 16:00:00,-0.03243210951771569,-0.03343210951771569
adjacent_fast,long,2024-05-18 20:00:00,2024-05-19 20:00:00,-0.009893945581703978,-0.010893945581703979
adjacent_fast,long,2024-05-21 04:00:00,2024-05-22 04:00:00,0.07991672191400023,0.07891672191400023
adjacent_fast,long,2024-05-21 20:00:00,2024-05-22 20:00:00,-0.022745081429085823,-0.023745081429085824
adjacent_fast,long,2024-05-28 00:00:00,2024-05-29 00:00:00,-0.026125492154533303,-0.027125492154533304
adjacent_fast,long,2024-07-15 12:00:00,2024-07-16 12:00:00,0.042424533714632506,0.041424533714632505
adjacent_fast,long,2024-07-15 16:00:00,2024-07-16 16:00:00,0.006218175425842132,0.005218175425842132
adjacent_fast,long,2024-07-16 08:00:00,2024-07-17 08:00:00,-0.011335583801223903,-0.012335583801223904
adjacent_fast,long,2024-07-20 04:00:00,2024-07-21 04:00:00,-0.002338763010078848,-0.003338763010078848
adjacent_fast,long,2024-07-29 12:00:00,2024-07-30 12:00:00,-0.008628230735011733,-0.009628230735011734
adjacent_fast,long,2024-08-24 04:00:00,2024-08-25 04:00:00,0.016974887216402612,0.01597488721640261
adjacent_fast,long,2024-09-19 16:00:00,2024-09-20 16:00:00,0.05041244682902013,0.04941244682902013
adjacent_fast,long,2024-09-20 12:00:00,2024-09-21 12:00:00,0.009119252372036923,0.008119252372036923
adjacent_fast,long,2024-09-22 08:00:00,2024-09-23 08:00:00,-0.01237057387524576,-0.013370573875245761
adjacent_fast,long,2024-09-23 12:00:00,2024-09-24 12:00:00,-0.018274255787283367,-0.019274255787283368
adjacent_fast,long,2024-10-07 12:00:00,2024-10-08 12:00:00,-0.022973032528435744,-0.023973032528435745
adjacent_fast,long,2024-10-14 12:00:00,2024-10-15 12:00:00,0.036279479307965046,0.035279479307965045
adjacent_fast,long,2024-10-15 00:00:00,2024-10-16 00:00:00,-0.023704018453320375,-0.024704018453320375
adjacent_fast,long,2024-10-21 00:00:00,2024-10-22 00:00:00,-0.010026303345549215,-0.011026303345549215
adjacent_fast,long,2024-10-21 08:00:00,2024-10-22 08:00:00,-0.02928608346861372,-0.030286083468613723
adjacent_fast,long,2024-10-29 08:00:00,2024-10-30 08:00:00,0.02804717502901699,0.02704717502901699
adjacent_fast,long,2024-12-05 00:00:00,2024-12-06 00:00:00,0.017393874865602177,0.016393874865602176
adjacent_fast,long,2024-12-05 20:00:00,2024-12-06 20:00:00,-0.016539514593465032,-0.017539514593465033
adjacent_fast,long,2024-12-07 04:00:00,2024-12-08 04:00:00,-0.013699976896343169,-0.01469997689634317
adjacent_fast,long,2025-01-04 00:00:00,2025-01-05 00:00:00,0.012061711079943915,0.011061711079943914
adjacent_fast,long,2025-01-04 04:00:00,2025-01-05 04:00:00,0.0022245344623443852,0.0012245344623443852
adjacent_fast,long,2025-01-16 04:00:00,2025-01-17 04:00:00,-0.026339688546063056,-0.027339688546063057
adjacent_fast,long,2025-01-31 20:00:00,2025-02-01 20:00:00,-0.025000074949259488,-0.02600007494925949
adjacent_fast,long,2025-02-01 00:00:00,2025-02-02 00:00:00,-0.05139747928579763,-0.05239747928579763
adjacent_fast,long,2025-03-03 04:00:00,2025-03-04 04:00:00,-0.15140922968010262,-0.15240922968010262
adjacent_fast,long,2025-03-19 20:00:00,2025-03-20 20:00:00,-0.019182500036984296,-0.020182500036984297
adjacent_fast,long,2025-03-24 16:00:00,2025-03-25 16:00:00,-0.006461278240908475,-0.007461278240908475
adjacent_fast,long,2025-04-21 12:00:00,2025-04-22 12:00:00,-0.03416236451273513,-0.035162364512735134
adjacent_fast,long,2025-04-23 00:00:00,2025-04-24 00:00:00,0.05374084163065951,0.05274084163065951
adjacent_fast,long,2025-04-23 08:00:00,2025-04-24 08:00:00,0.022328012801166253,0.021328012801166252
adjacent_fast,long,2025-05-01 20:00:00,2025-05-02 20:00:00,-0.006721996649843631,-0.007721996649843631
adjacent_fast,long,2025-05-08 12:00:00,2025-05-09 12:00:00,0.16011893797858057,0.15911893797858057
adjacent_fast,long,2025-05-08 20:00:00,2025-05-09 20:00:00,0.20118467183874555,0.20018467183874555
adjacent_fast,long,2025-05-09 00:00:00,2025-05-10 00:00:00,0.12193444877377946,0.12093444877377946
adjacent_fast,long,2025-05-09 04:00:00,2025-05-10 04:00:00,0.10092003098256286,0.09992003098256286
adjacent_fast,long,2025-05-09 16:00:00,2025-05-10 16:00:00,0.015144783110964344,0.014144783110964343
adjacent_fast,long,2025-05-14 04:00:00,2025-05-15 04:00:00,-0.03217831903970636,-0.03317831903970636
adjacent_fast,long,2025-05-29 12:00:00,2025-05-30 12:00:00,-0.04767302065529133,-0.04867302065529133
adjacent_fast,long,2025-06-05 00:00:00,2025-06-06 00:00:00,-0.029435917819417234,-0.030435917819417235
adjacent_fast,long,2025-06-10 08:00:00,2025-06-11 08:00:00,0.05078849635145466,0.04978849635145466
adjacent_fast,long,2025-06-10 20:00:00,2025-06-11 20:00:00,-0.0004652152431922074,-0.0014652152431922074
adjacent_fast,long,2025-06-12 00:00:00,2025-06-13 00:00:00,-0.05056311222084475,-0.05156311222084475
