definition,side,year,events,mean_net_24h,median_net_24h,win_rate
adjacent_fast,long,2022,38,-0.0041770776879367835,-0.010953813093558029,0.39473684210526316
adjacent_fast,long,2023,32,0.01054582980236941,-0.005453104281351095,0.4375
adjacent_fast,long,2024,38,-0.0018664128435181137,-0.009157595434946597,0.34210526315789475
adjacent_fast,long,2025,50,0.008791865622731116,8.752055465083373e-05,0.5
adjacent_fast,long,2026,20,-0.00995238605801591,-0.019722440158468912,0.3
adjacent_fast,short,2022,49,-0.0004916396491114161,-0.006004840379605469,0.4489795918367347
adjacent_fast,short,2023,14,-0.004867037833553245,-0.011448539671954694,0.2857142857142857
adjacent_fast,short,2024,28,0.0035853727897107524,-0.001777663443943255,0.4642857142857143
adjacent_fast,short,2025,29,-0.016805489178621198,-0.023897221043699735,0.41379310344827586
adjacent_fast,short,2026,17,0.0016380882570076912,-0.0003983939734769617,0.47058823529411764
adjacent_slow,long,2022,20,0.008937910735267073,0.007796106347807474,0.55
adjacent_slow,long,2023,35,0.0045275105254388905,-0.006298403924096307,0.4
adjacent_slow,long,2024,40,0.003538271948350319,-0.0005616906286843295,0.475
adjacent_slow,long,2025,42,0.011521623988357498,0.002617559566515882,0.5714285714285714
adjacent_slow,long,2026,15,-0.011223351380532669,-0.020858293782829773,0.26666666666666666
adjacent_slow,short,2022,36,-0.0020196687206242353,-0.001723196096227452,0.5
adjacent_slow,short,2023,12,-0.002301746781939562,-0.011448539671954694,0.3333333333333333
adjacent_slow,short,2024,25,0.004350113032404308,-0.00021463376323593766,0.48
adjacent_slow,short,2025,29,-0.00914555272571908,0.0007769802659374223,0.5172413793103449
adjacent_slow,short,2026,18,0.010081480948197262,0.009788910135672346,0.6111111111111112
frozen_base,long,2022,31,-0.001512235339398579,-0.006424900443309011,0.41935483870967744
frozen_base,long,2023,34,0.009178472809284403,-0.003243292889875459,0.47058823529411764
frozen_base,long,2024,39,0.0021862510439781,-0.003338763010078848,0.41025641025641024
frozen_base,long,2025,49,0.01591718361292559,0.00440338445926114,0.5714285714285714
frozen_base,long,2026,17,-0.005317514823674113,-0.005982559389000052,0.35294117647058826
frozen_base,short,2022,44,-0.0033945231698305892,-0.006781684458481928,0.45454545454545453
frozen_base,short,2023,12,-0.002845026679332896,-0.011448539671954694,0.3333333333333333
frozen_base,short,2024,27,0.0038355406452150824,-0.00021463376323593766,0.48148148148148145
frozen_base,short,2025,30,-0.01204031775461654,-0.0010699613269968813,0.5
frozen_base,short,2026,19,0.005183712563106247,-0.0003983939734769617,0.47368421052631576
