candidate,total_return,cagr,max_drawdown,calmar,max_consecutive_flat_days,max_consecutive_losing_days,positive_month_rate,annual_volatility,max_gross_exposure,total_cost
equal_mechanism_core,-3.362481591484556e-05,-7.275934478689905e-06,0.19918220709587986,-3.6529038335173715e-05,0,9,0.375,0.10629597157470015,0.3935245088451913,0.011162794089709216
absorption_only,0.013003520672478563,0.0027995149820474463,0.011541005793928139,0.24257114432091392,186,2,0.23214285714285715,0.006221879364297991,0.12,0.00384
breakout_only,0.061039410689821993,0.012903011981531876,0.04836470848569285,0.2667856870335281,37,5,0.5714285714285714,0.0323374994700744,0.1,0.0227
breakout_long_only,0.06523046217761297,0.01376740533204468,0.0245137004447451,0.5616208521058248,53,5,0.4642857142857143,0.019499043499748507,0.1,0.0123
breakout_short_only,-0.003934408221124008,-0.0008526545102600647,0.04238463843943563,-0.020117064617135805,55,3,0.4642857142857143,0.025797301467575244,0.1,0.0104
flow_reversal_only,0.0005615335288591261,0.00012147958677832804,0.016902964516443797,0.007186880541584787,50,3,0.44642857142857145,0.00963455746782583,0.16,0.016960000000000006
failed_sweep_only,-0.018723431643805744,-0.00408148888468296,0.041319041936699,-0.09877985290500742,36,4,0.48214285714285715,0.0188271465695217,0.08,0.02376
core_plus_absorption,0.013006177202425695,0.0028000840191346743,0.18776321639453875,0.014912846471755035,0,9,0.39285714285714285,0.10640430872562302,0.5084490268722661,0.015002794089709217
core_plus_breakout,0.060449801549411486,0.012781192071489977,0.1884612172900363,0.06781868575018327,0,10,0.39285714285714285,0.11212313171644123,0.4544868064233133,0.033862794089709214
core_plus_flow_reversal,0.0004660070399595817,0.00010081759633173704,0.2020960842535423,0.0004988597216225871,0,9,0.39285714285714285,0.10686093169701087,0.4725148589696544,0.028122794089709222
core_plus_failed_sweep,-0.017690502371959238,-0.0038547390070530207,0.20179709553079495,-0.01910205395629579,0,8,0.4107142857142857,0.10575256161753067,0.47280300228614486,0.03492279408970922
stable_pa_micro_portfolio,0.05667907744480871,0.012000860238996935,0.18166278167967687,0.06606119386720535,0,9,0.4107142857142857,0.11070208379005954,0.668449026872266,0.07842279408970922
