side,bar_time,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,notional,underlying_return,net_account_contribution,exit_reason,ambiguous_bar_loss_first
long,2022-02-21 20:00:00,2022-02-22 00:02:00,2022-02-22 02:05:00,2727.74,2664.89,2665.6800000000003,2851.8599999999988,0.2197663551401887,-0.02304105229970599,-0.005283414437641036,stop,False
short,2022-02-24 08:00:00,2022-02-24 12:02:00,2022-02-25 00:02:00,2401.48,2457.22,2489.6,2225.2400000000002,0.13626191556967787,-0.023210686743174946,-0.003298994552882424,time,False
long,2022-02-25 00:00:00,2022-02-25 04:02:00,2022-02-25 16:02:00,2612.71,2607.72,2514.1800000000003,2809.7699999999995,0.13258449203288372,-0.0019098943242841226,-0.00038580686085458183,time,False
short,2022-02-28 00:00:00,2022-02-28 04:02:00,2022-02-28 16:02:00,2611.33,2636.99,2701.44,2431.1099999999997,0.14489679280878903,-0.009826410296668753,-0.0015687121296193525,time,False
long,2022-02-28 20:00:00,2022-03-01 00:02:00,2022-03-01 12:02:00,2821.49,2914.34,2717.5,3029.4699999999993,0.13566160207712308,0.03290814427837785,0.004328709972112727,time,False
short,2022-03-08 00:00:00,2022-03-08 04:02:00,2022-03-08 09:13:00,2458.47,2540.89,2544.5550000000003,2286.299999999999,0.14279316954173119,-0.033524915902980235,-0.004929922169948268,stop,False
short,2022-05-05 20:00:00,2022-05-06 00:02:00,2022-05-06 12:02:00,2733.2,2743.29,2828.6549999999997,2542.29,0.1431669373002987,-0.003691643494804664,-0.0006716882300560536,time,False
short,2022-05-12 00:00:00,2022-05-12 04:02:00,2022-05-12 05:27:00,2129.25,2018.99,2188.785,2010.1800000000003,0.17882338120433403,0.05178349183984976,0.009081275720164641,target,False
short,2022-05-12 08:00:00,2022-05-12 12:02:00,2022-05-13 00:02:00,1966.98,1966.09,2080.94,1739.06,0.08630133380133378,0.00045247028439543424,-4.7252544752538984e-05,time,False
long,2022-05-13 08:00:00,2022-05-13 12:02:00,2022-05-14 00:02:00,2088.49,2093.69,2025.6,2214.2699999999995,0.16604309111146479,0.002489837155073893,0.0002473771664811799,time,False
long,2022-06-12 20:00:00,2022-06-13 00:02:00,2022-06-13 03:18:00,1523.0,1486.69,1488.005,1592.9899999999998,0.21760251464494995,-0.023841103086014392,-0.005405486498071158,stop,False
short,2022-06-13 12:00:00,2022-06-13 16:02:00,2022-06-13 17:08:00,1277.49,1189.41,1323.63,1185.2099999999998,0.13843628088426496,0.06894770213465462,0.009406427178153418,target,False
long,2022-06-14 12:00:00,2022-06-14 16:02:00,2022-06-14 17:56:00,1242.07,1198.06,1195.15,1335.9099999999996,0.13236040068201235,-0.0354327855917943,-0.0048222580988917406,stop,False
