test_month,train_start,train_label_exit_max,train_rows,test_rows,return_correlation,mean_expected,std_expected
2022-01-01,2020-04-01,2021-12-31 00:01:00,639,31,-0.21685406357553996,0.007505655857064432,0.006357224463420047
2022-02-01,2020-04-01,2022-01-31 00:01:00,670,28,-0.09649217118872695,0.005895644067899843,0.004131820513245367
2022-03-01,2020-04-01,2022-02-28 00:01:00,698,31,-0.3073020037374278,0.004430522739272888,0.004798847849145472
2022-04-01,2020-04-01,2022-03-31 00:01:00,729,30,0.41930962783140713,0.008989131563089416,0.004136545268833741
2022-05-01,2020-05-01,2022-04-30 00:01:00,729,31,-0.07475293150842706,0.005450667992073148,0.0037423986886303
2022-06-01,2020-06-01,2022-05-31 00:01:00,729,30,0.0029378076932130206,-5.837198245383785e-05,0.005917108448696524
2022-07-01,2020-07-01,2022-06-30 00:01:00,729,31,-0.08353024515827541,-0.0027854421564186046,0.006991441020894557
2022-08-01,2020-08-01,2022-07-31 00:01:00,729,31,0.10583443615645681,0.009112414176911231,0.003596606890558534
2022-09-01,2020-09-01,2022-08-31 00:01:00,729,30,0.23914565114495456,0.0025099929277715956,0.0037518358309199243
2022-10-01,2020-10-01,2022-09-30 00:01:00,729,31,-0.08116913326734311,-0.0006904941226430719,0.005913989344220776
2022-11-01,2020-11-01,2022-10-31 00:01:00,729,30,0.2543347283132111,0.006059469816026915,0.004671476566253034
2022-12-01,2020-12-01,2022-11-30 00:01:00,729,31,-0.07063339007638282,-0.0009410773730665425,0.003475704660281992
2023-01-01,2021-01-01,2022-12-31 00:01:00,729,31,0.04261119847255304,0.0014383480301190343,0.004143804373286258
2023-02-01,2021-02-01,2023-01-31 00:01:00,729,28,-0.02508432597034168,0.0018792806641891675,0.004219014515652769
2023-03-01,2021-03-01,2023-02-28 00:01:00,729,31,0.11168474154893737,-0.0004913604115508754,0.004667425969537168
2023-04-01,2021-04-01,2023-03-31 00:01:00,729,30,-0.17785821785368539,0.0011376849868760094,0.003261525013344038
2023-05-01,2021-05-01,2023-04-30 00:01:00,729,31,-0.0072455874001895425,0.0001507642766734734,0.003001914206688231
2023-06-01,2021-06-01,2023-05-31 00:01:00,729,30,0.4324801138321746,-0.0002784418427881155,0.0028195586397119702
2023-07-01,2021-07-01,2023-06-30 00:01:00,729,31,0.04226598190212459,0.00025664912877664176,0.002414931024532593
2023-08-01,2021-08-01,2023-07-31 00:01:00,729,31,0.017074379184716125,0.0008080987084824561,0.006492144881369202
2023-09-01,2021-09-01,2023-08-31 00:01:00,729,30,0.3489409565279495,-0.0015539882668619705,0.0021945356175907364
2023-10-01,2021-10-01,2023-09-30 00:01:00,729,31,0.032798118122130106,0.0010000379890743366,0.003086971922785813
2023-11-01,2021-11-01,2023-10-31 00:01:00,729,30,-0.11063918108964872,-0.0011390291281949446,0.002367948120916587
2023-12-01,2021-12-01,2023-11-30 00:01:00,729,31,0.36875572053704,-0.00337601661789255,0.002200337426488648
2024-01-01,2022-01-01,2023-12-31 00:01:00,729,31,0.24009663580563864,-0.005223382911458209,0.0034146672560021515
2024-02-01,2022-02-01,2024-01-31 00:01:00,729,29,-0.31703430506098296,-0.003625781238218438,0.003723293362831592
2024-03-01,2022-03-02,2024-02-29 00:01:00,729,31,-0.0939279792744325,-0.0036708472464667104,0.003389036032196693
2024-04-01,2022-04-02,2024-03-31 00:01:00,729,30,-0.2932533202949269,-0.004083027340325405,0.0027849868503792862
2024-05-01,2022-05-02,2024-04-30 00:01:00,729,31,-0.02697755186575803,-0.00027305149020928556,0.0035306767026970416
2024-06-01,2022-06-02,2024-05-31 00:01:00,729,30,0.1586899050050223,0.0030336256749675214,0.004007156943131307
2024-07-01,2022-07-02,2024-06-30 00:01:00,729,31,0.11488821349526498,0.0004267957510526239,0.0031093512896568465
2024-08-01,2022-08-02,2024-07-31 00:01:00,729,31,0.12525409499117893,0.0012372330813449721,0.00477313202865977
2024-09-01,2022-09-02,2024-08-31 00:01:00,729,30,-0.24115220306564203,0.0017667250856094397,0.0028119258599542236
2024-10-01,2022-10-02,2024-09-30 00:01:00,729,31,-0.07256985976488235,0.0010288856238518805,0.0013652071402781595
2024-11-01,2022-11-02,2024-10-31 00:01:00,729,30,0.0971207641343082,0.000546012530794977,0.002564027589265798
2024-12-01,2022-12-02,2024-11-30 00:01:00,729,31,0.11547680172148822,0.0024187232515574483,0.0020369962554918045
2025-01-01,2023-01-02,2024-12-31 00:01:00,729,31,0.2933618048801843,0.0011433018113941051,0.0019111511648951317
2025-02-01,2023-02-02,2025-01-31 00:01:00,729,28,0.6282178718210361,0.0018597295537180366,0.003213289433490356
2025-03-01,2023-03-02,2025-02-28 00:01:00,729,31,-0.013713889953412122,0.003245823834840154,0.004450380993742393
2025-04-01,2023-04-02,2025-03-31 00:01:00,729,30,0.25023289543461463,-0.000730386711168958,0.0047596306917991
2025-05-01,2023-05-02,2025-04-30 00:01:00,729,31,0.06525923116448336,0.0036495605623531433,0.0071501236886711995
2025-06-01,2023-06-02,2025-05-31 00:01:00,729,30,0.045409642934433954,0.0004896108012041042,0.003169742308190333
2025-07-01,2023-07-02,2025-06-30 00:01:00,729,31,-0.2846467870338136,-0.00013774836355160094,0.004841493645768624
2025-08-01,2023-08-02,2025-07-31 00:01:00,729,31,0.2225470925506164,0.0031253271501397203,0.0028739004919285153
2025-09-01,2023-09-02,2025-08-31 00:01:00,729,30,0.019547797391073558,0.0017817655107909582,0.0025360041223962
2025-10-01,2023-10-02,2025-09-30 00:01:00,729,31,0.26302546986981995,0.0016599450551857272,0.0032820030087280664
2025-11-01,2023-11-02,2025-10-31 00:01:00,729,30,-0.0011737309915372013,0.002100863788198283,0.003563616636772782
2025-12-01,2023-12-02,2025-11-30 00:01:00,729,31,0.09819891571913233,-0.0008370156404979409,0.00393476139651963
2026-01-01,2024-01-02,2025-12-31 00:01:00,729,31,-0.34057470860838485,0.0010316398708232917,0.002999412483233519
2026-02-01,2024-02-02,2026-01-31 00:01:00,729,28,0.11481428285870217,0.0008189480569762854,0.005036980923397749
2026-03-01,2024-03-01,2026-02-28 00:01:00,729,31,-0.2817242670010974,-0.0007266640476589864,0.004158797427941291
2026-04-01,2024-04-01,2026-03-31 00:01:00,729,30,-0.09886783545421492,-0.0008056566092956647,0.0031538210272113957
2026-05-01,2024-05-01,2026-04-30 00:01:00,729,31,0.2903485992763109,-0.002884410369403231,0.0024787244230987577
2026-06-01,2024-06-01,2026-05-31 00:01:00,729,30,-0.09984582629083306,-0.002411206826142242,0.0037823041285680154
2026-07-01,2024-07-01,2026-06-30 00:01:00,729,31,0.2578141466609422,-0.0031311661930551694,0.003554580290739699
2026-08-01,2024-08-01,2026-07-31 00:01:00,729,14,0.4086341701524164,-0.0052820406220989435,0.0029465668632368837
