test_month,feature,coefficient
2022-01-01,return_1d,0.002577185760482246
2022-01-01,return_3d,-0.0016786095860715554
2022-01-01,return_7d,0.004327030781323975
2022-01-01,return_14d,0.0037162404755615662
2022-01-01,return_30d,0.003085781522061952
2022-01-01,return_90d,-0.001184491539465429
2022-01-01,close_location,-0.0052375102043845856
2022-01-01,body_fraction,0.002279317167846081
2022-01-01,range_over_20d,0.001116858882610737
2022-01-01,realized_vol_30d,-0.0003237568824050394
2022-01-01,distance_high_20d,-0.005868900053717215
2022-01-01,distance_low_20d,-0.004734018514464339
2022-02-01,return_1d,0.0032795616570838464
2022-02-01,return_3d,-0.0013238833056114687
2022-02-01,return_7d,0.0036782783682377564
2022-02-01,return_14d,0.003386190800298495
2022-02-01,return_30d,0.003899208582966569
2022-02-01,return_90d,-0.0006453425481254149
2022-02-01,close_location,-0.005374484506945788
2022-02-01,body_fraction,0.001610659966766554
2022-02-01,range_over_20d,0.0003115150556536775
2022-02-01,realized_vol_30d,-0.00012922250525757806
2022-02-01,distance_high_20d,-0.00554957080197737
2022-02-01,distance_low_20d,-0.004564119203693293
2022-03-01,return_1d,0.002749546297696227
2022-03-01,return_3d,-0.0014063561250191262
2022-03-01,return_7d,0.004538730327086243
2022-03-01,return_14d,0.002316669441248466
2022-03-01,return_30d,0.0036419410601651447
2022-03-01,return_90d,-0.00038054891589858167
2022-03-01,close_location,-0.00478093806666281
2022-03-01,body_fraction,0.0011676301299684499
2022-03-01,range_over_20d,0.0006863339100328762
2022-03-01,realized_vol_30d,-0.0006408451215306152
2022-03-01,distance_high_20d,-0.005882851612355362
2022-03-01,distance_low_20d,-0.0039368714768236055
2022-04-01,return_1d,0.00208635311507091
2022-04-01,return_3d,-0.0012102843958460294
2022-04-01,return_7d,0.004165560706980852
2022-04-01,return_14d,0.00242878814916225
2022-04-01,return_30d,0.0035085388322894447
2022-04-01,return_90d,-0.0005067573551298181
2022-04-01,close_location,-0.0037975582564393545
2022-04-01,body_fraction,0.0009649930796743393
2022-04-01,range_over_20d,0.0006494031583955572
2022-04-01,realized_vol_30d,-0.0006468156605536112
2022-04-01,distance_high_20d,-0.0056540214071283115
2022-04-01,distance_low_20d,-0.0038541689363218857
2022-05-01,return_1d,0.0018208825765758966
2022-05-01,return_3d,-0.001069069041994181
2022-05-01,return_7d,0.004753079892218612
2022-05-01,return_14d,0.0020159307187663073
2022-05-01,return_30d,0.004080146650461528
2022-05-01,return_90d,0.00024612656319270167
2022-05-01,close_location,-0.0032614766384789448
2022-05-01,body_fraction,0.0003076193556304312
2022-05-01,range_over_20d,0.0012699712793661506
2022-05-01,realized_vol_30d,-0.0008659943719864904
2022-05-01,distance_high_20d,-0.006137125561223633
2022-05-01,distance_low_20d,-0.004327178301242438
2022-06-01,return_1d,0.0008061475060614217
2022-06-01,return_3d,-0.0008623969365291711
2022-06-01,return_7d,0.004756023253176452
2022-06-01,return_14d,0.0016957509706360151
2022-06-01,return_30d,0.005492807913009808
2022-06-01,return_90d,6.292055647297932e-05
2022-06-01,close_location,-0.0030955186391998617
2022-06-01,body_fraction,0.0003663225383827758
2022-06-01,range_over_20d,0.0007016215962244477
2022-06-01,realized_vol_30d,0.0004597945736564272
2022-06-01,distance_high_20d,-0.005137527585211558
2022-06-01,distance_low_20d,-0.0047556212445921935
2022-07-01,return_1d,4.1324217905992315e-05
2022-07-01,return_3d,-0.0005632505915403238
2022-07-01,return_7d,0.00534348395272669
2022-07-01,return_14d,-0.00033709703742821056
2022-07-01,return_30d,0.0061349045762036395
2022-07-01,return_90d,0.001268099171830287
2022-07-01,close_location,-0.0027272401644869272
2022-07-01,body_fraction,0.0006763302588866665
2022-07-01,range_over_20d,0.00043836439075132643
2022-07-01,realized_vol_30d,-0.0004488479954925088
2022-07-01,distance_high_20d,-0.004931834758094691
2022-07-01,distance_low_20d,-0.003939526385873271
2022-08-01,return_1d,0.0008157671249548336
2022-08-01,return_3d,-0.00020122298533506897
2022-08-01,return_7d,0.0030219585087021884
2022-08-01,return_14d,0.0028645090069184453
2022-08-01,return_30d,0.007812566789033092
2022-08-01,return_90d,-0.0015100872539436112
2022-08-01,close_location,-0.0025664038108129473
2022-08-01,body_fraction,0.0010804487154743878
2022-08-01,range_over_20d,0.00013953352410522713
2022-08-01,realized_vol_30d,0.001886668735061068
2022-08-01,distance_high_20d,-0.005124111008010576
2022-08-01,distance_low_20d,-0.005659283486218125
2022-09-01,return_1d,0.0006606788055872104
2022-09-01,return_3d,-0.0004211786827107481
2022-09-01,return_7d,0.003211234220027589
2022-09-01,return_14d,0.002447968450585107
2022-09-01,return_30d,0.007223544842340239
2022-09-01,return_90d,-0.0008077305237339363
2022-09-01,close_location,-0.0022704494569399164
2022-09-01,body_fraction,0.0011868848384122377
2022-09-01,range_over_20d,-0.00039865029073535963
2022-09-01,realized_vol_30d,0.0015556590382222414
2022-09-01,distance_high_20d,-0.0053612134856847295
2022-09-01,distance_low_20d,-0.005294998276939902
2022-10-01,return_1d,0.0004885726040420241
2022-10-01,return_3d,-0.0006981832969122191
2022-10-01,return_7d,0.005407920500623207
2022-10-01,return_14d,0.0029062425568197295
2022-10-01,return_30d,0.00795348907642943
2022-10-01,return_90d,-0.0008926329244160569
2022-10-01,close_location,-0.002483903308289405
2022-10-01,body_fraction,0.0012910161280541201
2022-10-01,range_over_20d,0.0007626313610707877
2022-10-01,realized_vol_30d,0.0018828238772623412
2022-10-01,distance_high_20d,-0.006583519604318515
2022-10-01,distance_low_20d,-0.0066750480893121135
2022-11-01,return_1d,-9.490894202604611e-05
2022-11-01,return_3d,-0.0006361804288594518
2022-11-01,return_7d,0.005442989428498589
2022-11-01,return_14d,0.001980650208290307
2022-11-01,return_30d,0.007827490679995181
2022-11-01,return_90d,-0.0012581954511515531
2022-11-01,close_location,-0.0018069727700803688
2022-11-01,body_fraction,0.0006331139629219151
2022-11-01,range_over_20d,0.0010365854126777804
2022-11-01,realized_vol_30d,0.0017272791837687012
2022-11-01,distance_high_20d,-0.005579595386781341
2022-11-01,distance_low_20d,-0.006149511473730679
2022-12-01,return_1d,-0.0018321292291887403
2022-12-01,return_3d,-9.727208922013894e-05
2022-12-01,return_7d,0.006162567509453822
2022-12-01,return_14d,0.002048458528969951
2022-12-01,return_30d,0.006695044942194784
2022-12-01,return_90d,-0.0006682859257019195
2022-12-01,close_location,-0.0013695471096066413
2022-12-01,body_fraction,0.0007531775308777544
2022-12-01,range_over_20d,0.0016440485314011435
2022-12-01,realized_vol_30d,0.0021666150821374117
2022-12-01,distance_high_20d,-0.005612344658078657
2022-12-01,distance_low_20d,-0.005878805143377964
2023-01-01,return_1d,-0.0014572130214169077
2023-01-01,return_3d,-0.0011063074214869642
2023-01-01,return_7d,0.007144431254029637
2023-01-01,return_14d,0.0016582360844523238
2023-01-01,return_30d,0.006544335406147271
2023-01-01,return_90d,-0.0009153113688123479
2023-01-01,close_location,-0.0014359293079262312
2023-01-01,body_fraction,0.000788575266862889
2023-01-01,range_over_20d,0.0016381186171076185
2023-01-01,realized_vol_30d,0.002566254229610455
2023-01-01,distance_high_20d,-0.005436557783266068
2023-01-01,distance_low_20d,-0.005777552872437374
2023-02-01,return_1d,-0.0003955285131395636
2023-02-01,return_3d,-0.0011389408184419197
2023-02-01,return_7d,0.006542474194339953
2023-02-01,return_14d,0.00042598681630342096
2023-02-01,return_30d,0.005720712236126681
2023-02-01,return_90d,-0.0016951889634773476
2023-02-01,close_location,-0.0017058496922392166
2023-02-01,body_fraction,0.0017934939196681341
2023-02-01,range_over_20d,0.0014812066020066866
2023-02-01,realized_vol_30d,0.0027384707019939775
2023-02-01,distance_high_20d,-0.0033736729741370448
2023-02-01,distance_low_20d,-0.005676687324947848
2023-03-01,return_1d,-0.0015547604605435877
2023-03-01,return_3d,-0.0006082550585361673
2023-03-01,return_7d,0.00563442226319506
2023-03-01,return_14d,0.0012624556690714224
2023-03-01,return_30d,0.00463756968492294
2023-03-01,return_90d,-0.001198412468598643
2023-03-01,close_location,-0.00047180306485374387
2023-03-01,body_fraction,0.0019168885040474694
2023-03-01,range_over_20d,0.0015324230555513983
2023-03-01,realized_vol_30d,0.0008972746212883818
2023-03-01,distance_high_20d,-0.004699289831892711
2023-03-01,distance_low_20d,-0.004494233216353122
2023-04-01,return_1d,-0.0009203318248998377
2023-04-01,return_3d,-0.0009126064097655303
2023-04-01,return_7d,0.005473493946332386
2023-04-01,return_14d,0.0016935139547131837
2023-04-01,return_30d,0.00420869282595718
2023-04-01,return_90d,-0.002221167507345611
2023-04-01,close_location,-0.0005264394675364919
2023-04-01,body_fraction,0.001371223665282955
2023-04-01,range_over_20d,0.0019288406441498867
2023-04-01,realized_vol_30d,0.00022019905645044813
2023-04-01,distance_high_20d,-0.0044523761783153105
2023-04-01,distance_low_20d,-0.0038556061840075324
2023-05-01,return_1d,-0.002980836177762868
2023-05-01,return_3d,0.001030758952383135
2023-05-01,return_7d,0.0044233004022286235
2023-05-01,return_14d,0.0008753400793167436
2023-05-01,return_30d,0.0038522570231285485
2023-05-01,return_90d,-0.0029751376024676848
2023-05-01,close_location,0.00016190997317992568
2023-05-01,body_fraction,0.0009798318372114666
2023-05-01,range_over_20d,0.0021983369994008684
2023-05-01,realized_vol_30d,0.0004697121556783233
2023-05-01,distance_high_20d,-0.003163489850373306
2023-05-01,distance_low_20d,-0.0034336958581388135
2023-06-01,return_1d,-0.0008196974974463491
2023-06-01,return_3d,0.0013922750305562857
2023-06-01,return_7d,0.001054431030583947
2023-06-01,return_14d,0.0019054949000381469
2023-06-01,return_30d,0.0035831982548465376
2023-06-01,return_90d,-0.0029932363654170723
2023-06-01,close_location,-0.001172477713643618
2023-06-01,body_fraction,0.0002939019191539591
2023-06-01,range_over_20d,0.0021607942697702484
2023-06-01,realized_vol_30d,-0.0001963406390845721
2023-06-01,distance_high_20d,-0.003489841242273126
2023-06-01,distance_low_20d,-0.002095226157480753
2023-07-01,return_1d,-0.0005583647195688131
2023-07-01,return_3d,0.0016183332453094986
2023-07-01,return_7d,0.0016298779742799823
2023-07-01,return_14d,0.0007394140139240164
2023-07-01,return_30d,0.004034708190554562
2023-07-01,return_90d,-0.0032816898279112642
2023-07-01,close_location,-0.0012377220070261565
2023-07-01,body_fraction,-0.00044711967597423053
2023-07-01,range_over_20d,0.002586608585467751
2023-07-01,realized_vol_30d,0.0010809000422914849
2023-07-01,distance_high_20d,-0.0015985785113555387
2023-07-01,distance_low_20d,-0.003478727264930411
2023-08-01,return_1d,-6.781133197230897e-05
2023-08-01,return_3d,0.0014166643579743372
2023-08-01,return_7d,0.00033070084603560243
2023-08-01,return_14d,0.001224496230057368
2023-08-01,return_30d,0.00324838322666534
2023-08-01,return_90d,-0.0030401996442065925
2023-08-01,close_location,-0.0014909463014048487
2023-08-01,body_fraction,-0.0003660140646846642
2023-08-01,range_over_20d,0.0025664867172803534
2023-08-01,realized_vol_30d,0.001087224925363637
2023-08-01,distance_high_20d,-0.0006896757079013542
2023-08-01,distance_low_20d,-0.0030491750407632646
2023-09-01,return_1d,0.0004957107848274424
2023-09-01,return_3d,0.0017086400120522095
2023-09-01,return_7d,0.0001594807810406372
2023-09-01,return_14d,0.00041234526376453007
