candidate,total_return,cagr,max_drawdown,calmar,max_consecutive_flat_days,max_consecutive_losing_days,positive_month_rate,annual_volatility,max_gross_exposure,total_cost,model,year
monthly_tsmom_inverse_volatility:2022,-0.019099440725566907,-0.01911293693254179,0.10799163262088007,-0.176985350333951,0,7,0.5833333333333334,0.0972734105460033,0.18421642079361877,0.00046055584797899624,monthly_tsmom_inverse_volatility,2022
monthly_tsmom_inverse_volatility:2023,0.011668809265730662,0.011677183274066305,0.06626266813606396,0.17622567280400395,0,7,0.4166666666666667,0.07446577055062349,0.3839864058452587,0.0006404211051798981,monthly_tsmom_inverse_volatility,2023
monthly_tsmom_inverse_volatility:2024,0.05435106542324841,0.054238307994755486,0.1431992809538909,0.3787610359036636,0,9,0.3333333333333333,0.13968293313834337,0.3839864058452587,0.0005901124241344427,monthly_tsmom_inverse_volatility,2024
monthly_tsmom_inverse_volatility:2025,-0.20904432968722175,-0.20917666376546973,0.23540448516058388,-0.8885840200656222,0,8,0.5,0.1214370966164935,0.2369911584908719,0.0007059456484296905,monthly_tsmom_inverse_volatility,2025
monthly_tsmom_inverse_volatility:2026,0.03569340029034773,0.05805863061891481,0.08112040138685139,0.7157093607321005,0,7,0.375,0.11727935939723126,0.272519656114488,0.0003798769769047701,monthly_tsmom_inverse_volatility,2026
monthly_tsmom_inverse_variance:2022,-0.0007366767376164596,-0.0007372021558155195,0.018070281681631384,-0.04079638429570761,0,7,0.5833333333333334,0.017199728990961217,0.033935689690011615,8.66484252933911e-05,monthly_tsmom_inverse_variance,2022
monthly_tsmom_inverse_variance:2023,0.011542408319652475,0.011550691100709054,0.019139538503905706,0.6034989348542529,0,7,0.4166666666666667,0.02720723255107142,0.14744555987395971,0.00021569728093352258,monthly_tsmom_inverse_variance,2023
monthly_tsmom_inverse_variance:2024,0.02548786877844611,0.025435713932094872,0.041010100854784515,0.6202304652251878,0,9,0.3333333333333333,0.04413334510633183,0.14744555987395971,0.000168901591993256,monthly_tsmom_inverse_variance,2024
monthly_tsmom_inverse_variance:2025,-0.0509204688310233,-0.05095585833540961,0.05870067035599802,-0.8680626307396667,0,8,0.5,0.02781502948911218,0.05616480920284556,0.00015946758580607335,monthly_tsmom_inverse_variance,2025
monthly_tsmom_inverse_variance:2026,0.012463041182877888,0.020131267053765667,0.01967950419152098,1.0229560083347695,0,7,0.375,0.03050805400575687,0.07426696296875877,9.854034721498142e-05,monthly_tsmom_inverse_variance,2026
confirmed_daily_bos:2022,0.10970682519885977,0.10978924776733567,0.07263865313433127,1.5114438804957122,0,6,0.5,0.09221884837971453,0.2602842574893558,0.0021626795762307613,confirmed_daily_bos,2022
confirmed_daily_bos:2023,-0.050150516293515746,-0.05018538495167424,0.15208110115755158,-0.32999093621556336,0,9,0.3333333333333333,0.13884089954755044,0.6,0.00541747662010117,confirmed_daily_bos,2023
confirmed_daily_bos:2024,0.12379398725682256,0.12352897642594618,0.09235272154849683,1.3375780849195427,0,7,0.4166666666666667,0.09332169508354421,0.31322788675602836,0.002935875219665111,confirmed_daily_bos,2024
confirmed_daily_bos:2025,-0.006295421371072085,-0.006299898917058178,0.08666288644992137,-0.0726943121228556,0,7,0.5,0.0902606249062845,0.2147614704781787,0.0022418368884916766,confirmed_daily_bos,2025
confirmed_daily_bos:2026,0.13572374931733444,0.22727999103807828,0.056014230421881805,4.057540188025006,0,4,0.75,0.09952719730744028,0.3171991835074644,0.0022201036547792805,confirmed_daily_bos,2026
equal_tsmom_vol_and_variance:2022,-0.00916470420244031,-0.009171213056469396,0.06383387879673574,-0.14367312827210466,0,7,0.5833333333333334,0.05719223173563072,0.1090760552418152,0.0002736021366361937,equal_tsmom_vol_and_variance,2022
equal_tsmom_vol_and_variance:2023,0.011895112378315309,0.011903649744426703,0.0429068326840365,0.277430166707585,0,7,0.4166666666666667,0.05072078166162358,0.26571598285960923,0.0004280591930567104,equal_tsmom_vol_and_variance,2023
equal_tsmom_vol_and_variance:2024,0.04102479969435935,0.04094022342890402,0.09289504004439708,0.4407148477393149,0,9,0.3333333333333333,0.091757529141469,0.26571598285960923,0.0003795070080638494,equal_tsmom_vol_and_variance,2024
equal_tsmom_vol_and_variance:2025,-0.1326309385735005,-0.1327189920998707,0.15074218999802325,-0.8804369374069139,0,8,0.5,0.07461135430022296,0.14657798384685874,0.0004327066171178819,equal_tsmom_vol_and_variance,2025
equal_tsmom_vol_and_variance:2026,0.02461333044878944,0.039903232424479906,0.05051944313902612,0.7898589126303092,0,7,0.375,0.07386209126715407,0.17339330954162338,0.00023920866205987576,equal_tsmom_vol_and_variance,2026
