test_month,feature,standardized_coefficient
2022-07-01,return_1h,0.1638316648913407
2022-07-01,return_3h,-0.13149447566599332
2022-07-01,return_6h,0.0896892340181258
2022-07-01,return_12h,-0.06861897804336944
2022-07-01,return_24h,0.07976270267364681
2022-07-01,return_72h,0.044922589152143685
2022-07-01,close_location,-0.03103273492028893
2022-07-01,body_fraction,0.02098625521704209
2022-07-01,range_over_atr,-0.1905823888204895
2022-07-01,distance_high_24h,-0.11595293374020603
2022-07-01,distance_low_24h,0.04831203834973567
2022-07-01,realized_vol_24h,-0.03689457808596142
2022-07-01,volume_relative_24h,0.12556822239452822
2022-07-01,trades_relative_24h,-0.06660094044428608
2022-07-01,delta_ratio_1h,-0.025119805301301874
2022-07-01,delta_ratio_4h,-0.14429314127347753
2022-07-01,delta_ratio_24h,0.04930826924453884
2022-07-01,large_delta_ratio_1h,-0.13736282578753056
2022-07-01,large_delta_ratio_4h,0.13022394156512082
2022-07-01,taker_buy_ratio_4h,-0.14429314127347523
2022-07-01,sell_absorption,-0.004270667344579542
2022-07-01,buy_absorption,0.029252138690212093
2022-07-01,price_flow_efficiency_4h,0.06773701501611001
2022-07-01,max_trade_share,-0.03236648947711932
2022-08-01,return_1h,0.14889806644577694
2022-08-01,return_3h,-0.09820129955758329
2022-08-01,return_6h,0.10395187143722949
2022-08-01,return_12h,-0.05883511448158349
2022-08-01,return_24h,0.08837904752749157
2022-08-01,return_72h,0.030816073437898297
2022-08-01,close_location,-0.008911437062339385
2022-08-01,body_fraction,0.020042481531914298
2022-08-01,range_over_atr,-0.22138948197532568
2022-08-01,distance_high_24h,-0.10157858921761984
2022-08-01,distance_low_24h,0.004246810968779127
2022-08-01,realized_vol_24h,-0.011146558676253769
2022-08-01,volume_relative_24h,0.23538895952115535
2022-08-01,trades_relative_24h,-0.10362750393570194
2022-08-01,delta_ratio_1h,-0.12204363271664721
2022-08-01,delta_ratio_4h,-0.13179182968252318
2022-08-01,delta_ratio_24h,0.10126225939732116
2022-08-01,large_delta_ratio_1h,-0.13373076782538157
2022-08-01,large_delta_ratio_4h,0.11177987518516785
2022-08-01,taker_buy_ratio_4h,-0.13179182968252098
2022-08-01,sell_absorption,-0.10723384408518083
2022-08-01,buy_absorption,0.02378956183024511
2022-08-01,price_flow_efficiency_4h,0.05380078225559588
2022-08-01,max_trade_share,-0.035541259837866976
2022-09-01,return_1h,0.13858582957861618
2022-09-01,return_3h,-0.09845747968153788
2022-09-01,return_6h,0.06841888961558644
2022-09-01,return_12h,-0.055277876110224465
2022-09-01,return_24h,0.06867348984108582
2022-09-01,return_72h,0.05711414691196498
2022-09-01,close_location,-0.0005806654209094055
2022-09-01,body_fraction,0.04826675361028373
2022-09-01,range_over_atr,-0.27437065351685935
2022-09-01,distance_high_24h,-0.10734529804617168
2022-09-01,distance_low_24h,0.04206508404372016
2022-09-01,realized_vol_24h,-0.02605645730188192
2022-09-01,volume_relative_24h,0.26414552209446573
2022-09-01,trades_relative_24h,-0.12540905964997592
2022-09-01,delta_ratio_1h,-0.11348966131403145
2022-09-01,delta_ratio_4h,-0.1169955841631121
2022-09-01,delta_ratio_24h,0.060366713095945206
2022-09-01,large_delta_ratio_1h,-0.12773695764483867
2022-09-01,large_delta_ratio_4h,0.10488135029057728
2022-09-01,taker_buy_ratio_4h,-0.11699558416310006
2022-09-01,sell_absorption,-0.1009045157005306
2022-09-01,buy_absorption,0.002515495524267152
2022-09-01,price_flow_efficiency_4h,0.030234960845716887
2022-09-01,max_trade_share,-0.025779923355931697
2022-10-01,return_1h,0.10672845562667396
2022-10-01,return_3h,-0.11300657659779009
