test_month,train_start,train_label_exit_max,train_rows,test_rows,return_correlation,mean_prediction,prediction_std
2023-01-01,2022-01-04 01:00:00,2022-12-31 23:46:00,34559,2965,-0.004039926342317489,-0.0007683850546260943,0.0011876864112358439
2023-02-01,2022-02-01 00:00:00,2023-01-31 23:46:00,34855,2687,0.009262467634969207,-0.0003843786785806721,0.0010431232746920744
2023-03-01,2022-03-01 00:00:00,2023-02-28 23:46:00,34863,2969,-0.08601020513830118,-0.00015444518153579097,0.0012539898703821314
2023-04-01,2022-04-01 00:00:00,2023-03-31 23:46:00,34865,2880,0.04906950452146352,-0.0002455193797591156,0.001118779191018307
2023-05-01,2022-05-01 00:00:00,2023-04-30 23:46:00,34880,2975,0.0017207519006167552,0.00021938461270668857,0.001242539005629176
2023-06-01,2022-06-01 00:00:00,2023-05-31 23:46:00,34885,2879,0.022167025133951284,0.0001312866576484072,0.0008428584301268298
2023-07-01,2022-07-01 00:00:00,2023-06-30 23:46:00,34896,2975,0.01036238799035575,0.00025160021099610664,0.0008841809817915617
2023-08-01,2022-08-01 00:00:00,2023-07-31 23:46:00,34905,2973,-0.04360399279273164,0.0002472164107317596,0.0009107079599037764
2023-09-01,2022-09-01 00:00:00,2023-08-31 23:46:00,34906,2879,-0.03725921216213341,0.0002954275583585607,0.0006164163342771451
2023-10-01,2022-10-01 00:00:00,2023-09-30 23:46:00,34907,2973,-0.1056445154159996,0.00035232856630058716,0.000568604263765529
2023-11-01,2022-11-01 00:00:00,2023-10-31 23:46:00,34909,2880,0.06725745109246524,0.00010485632674226744,0.0005415938498440383
2023-12-01,2022-12-01 00:00:00,2023-11-30 23:46:00,34920,2976,0.11237145689934462,0.00048078038598575913,0.0006299738447007538
2024-01-01,2023-01-01 00:00:00,2023-12-31 23:46:00,34979,2975,0.004929134817124076,0.0007814757048342787,0.0011108121921602015
2024-02-01,2023-02-01 00:00:00,2024-01-31 23:46:00,34989,2784,-0.029127998875374456,0.0003023797317529608,0.0006820970302645129
2024-03-01,2023-03-02 00:00:00,2024-02-29 23:46:00,34990,2976,0.168630271332419,0.0016912184223191293,0.0015912572720803455
2024-04-01,2023-04-02 00:00:00,2024-03-31 23:46:00,34997,2880,-0.004570304000907932,0.0012342707560486618,0.0015842316051011135
2024-05-01,2023-05-02 00:00:00,2024-04-30 23:46:00,34997,2976,-0.038676138137660854,0.000511194738817187,0.0012835602217483705
2024-06-01,2023-06-02 00:00:00,2024-05-31 23:46:00,34999,2880,0.10455556480377191,0.0007257926222428362,0.0010739013737754211
2024-07-01,2023-07-02 00:00:00,2024-06-30 23:46:00,34999,2976,0.0007360004127470116,0.0008044949355373984,0.0011213646378021927
2024-08-01,2023-08-02 00:00:00,2024-07-31 23:46:00,35000,2976,0.24443110746686497,0.001430156644996913,0.002070780378803765
2024-09-01,2023-09-02 00:00:00,2024-08-31 23:46:00,35003,2880,0.15018424559410382,0.0004174144611516331,0.0013188197777258082
2024-10-01,2023-10-02 00:00:00,2024-09-30 23:46:00,35004,2976,-0.023156147074058178,0.0005397259797408828,0.0013318799927537176
2024-11-01,2023-11-02 00:00:00,2024-10-31 23:46:00,35007,2880,-0.04460656934586616,0.0004135366549782932,0.001565081598228462
2024-12-01,2023-12-02 00:00:00,2024-11-30 23:46:00,35007,2976,0.09985216212408043,0.0011697779803671406,0.0015126354803840403
2025-01-01,2024-01-02 00:00:00,2024-12-31 23:46:00,35007,2976,0.08844209719576061,0.000412604757438563,0.0018594234273391582
