test_month,train_start,train_label_exit_max,train_rows,test_rows,return_correlation
2023-03-01,2022-04-03 00:00:00,2023-02-28 00:01:00,315,30,-0.4359098376654944
2023-04-01,2022-04-03 00:00:00,2023-03-31 00:01:00,345,30,-0.14047812289213188
2023-05-01,2022-04-03 00:00:00,2023-04-30 00:01:00,375,31,-0.11780277056353188
2023-06-01,2022-04-03 00:00:00,2023-05-31 00:01:00,406,30,-0.46793099947575706
2023-07-01,2022-04-03 00:00:00,2023-06-30 00:01:00,436,31,0.2980465681899558
2023-08-01,2022-04-03 00:00:00,2023-07-31 00:01:00,467,31,-0.1309908410222197
2023-09-01,2022-04-03 00:00:00,2023-08-31 00:01:00,498,30,0.15928896187249883
2023-10-01,2022-04-03 00:00:00,2023-09-30 00:01:00,528,31,-0.07511633443596216
2023-11-01,2022-04-03 00:00:00,2023-10-31 00:01:00,559,30,0.7158303204015092
2023-12-01,2022-04-03 00:00:00,2023-11-30 00:01:00,589,31,0.31119840890370165
2024-01-01,2022-04-03 00:00:00,2023-12-31 00:01:00,620,31,0.47914602390794725
2024-02-01,2022-04-03 00:00:00,2024-01-31 00:01:00,651,29,-0.3464382423003071
2024-03-01,2022-04-03 00:00:00,2024-02-29 00:01:00,680,31,-0.35564478029108326
2024-04-01,2022-04-03 00:00:00,2024-03-31 00:01:00,711,30,-0.27182160116629434
2024-05-01,2022-05-02 00:00:00,2024-04-30 00:01:00,713,31,0.5404472430952553
2024-06-01,2022-06-02 00:00:00,2024-05-31 00:01:00,714,30,-0.02336436265731633
2024-07-01,2022-07-02 00:00:00,2024-06-30 00:01:00,715,31,0.21057846920933632
2024-08-01,2022-08-02 00:00:00,2024-07-31 00:01:00,717,31,0.1428384307685442
2024-09-01,2022-09-02 00:00:00,2024-08-31 00:01:00,717,30,0.4726711904189487
2024-10-01,2022-10-02 00:00:00,2024-09-30 00:01:00,717,31,0.48560762055719736
2024-11-01,2022-11-02 00:00:00,2024-10-31 00:01:00,717,30,0.5219645524167689
2024-12-01,2022-12-02 00:00:00,2024-11-30 00:01:00,720,31,-0.008946127292114234
2025-01-01,2023-01-02 00:00:00,2024-12-31 00:01:00,722,31,0.1388005985144192
2025-02-01,2023-02-02 00:00:00,2025-01-31 00:01:00,722,28,8.525243861432382e-05
2025-03-01,2023-03-02 00:00:00,2025-02-28 00:01:00,722,31,-0.01995534902343604
2025-04-01,2023-04-02 00:00:00,2025-03-31 00:01:00,723,30,-0.3567788049001903
2025-05-01,2023-05-02 00:00:00,2025-04-30 00:01:00,723,31,-0.5304652763766575
2025-06-01,2023-06-02 00:00:00,2025-05-31 00:01:00,723,30,0.15575690400769024
2025-07-01,2023-07-02 00:00:00,2025-06-30 00:01:00,723,31,-0.7029378302928031
2025-08-01,2023-08-02 00:00:00,2025-07-31 00:01:00,723,31,-0.12707068695923335
2025-09-01,2023-09-02 00:00:00,2025-08-31 00:01:00,723,30,-0.08206023309492914
2025-10-01,2023-10-02 00:00:00,2025-09-30 00:01:00,723,31,-0.6107780614888695
2025-11-01,2023-11-02 00:00:00,2025-10-31 00:01:00,723,30,-0.6719885961190786
2025-12-01,2023-12-02 00:00:00,2025-11-30 00:01:00,723,31,0.013693471855728572
2026-01-01,2024-01-02 00:00:00,2025-12-31 00:01:00,723,31,-0.21510777504031783
2026-02-01,2024-02-02 00:00:00,2026-01-31 00:01:00,723,28,-0.6230593723138733
2026-03-01,2024-03-01 00:00:00,2026-02-28 00:01:00,723,31,-0.3240770904013357
2026-04-01,2024-04-01 00:00:00,2026-03-31 00:01:00,723,30,0.5238932716981546
2026-05-01,2024-05-01 00:00:00,2026-04-30 00:01:00,723,31,0.4708472882268915
2026-06-01,2024-06-01 00:00:00,2026-05-31 00:01:00,723,30,0.16996524307051597
2026-07-01,2024-07-01 00:00:00,2026-06-30 00:01:00,723,31,-0.32781717288918
2026-08-01,2024-08-01 00:00:00,2026-07-31 00:01:00,723,8,0.27991593300795775
