sleeve,entry_time,exit_time,side,bars,days,gross_price_contribution,max_abs_exposure,min_maintenance_headroom
7d,2022-01-01 00:00:00,2022-01-05 04:00:00,SHORT,25,4.166666666666667,-0.0004997949083516453,0.055735368273807644,0.997990433010151
7d,2022-01-05 04:00:00,2022-01-06 04:00:00,LONG,6,1.0,-0.0023294162874035605,0.05618085879564779,0.996452526795922
7d,2022-01-06 04:00:00,2022-01-15 04:00:00,SHORT,54,9.0,0.005127024776361315,0.05621359257378233,0.9923702002993782
7d,2022-01-15 04:00:00,2022-01-19 04:00:00,LONG,24,4.0,-0.003536560403516407,0.06422201331289805,0.9980558582293111
7d,2022-01-19 04:00:00,2022-01-30 04:00:00,SHORT,66,11.0,0.011173522519062321,0.06365320217321917,0.9883900916671549
7d,2022-01-30 04:00:00,2022-02-13 04:00:00,LONG,84,14.0,0.005961575541828971,0.044120394709965566,0.9971192064373294
7d,2022-02-13 04:00:00,2022-02-16 04:00:00,SHORT,18,3.0,-0.002337672551039788,0.04376864250610201,0.9944542990364135
7d,2022-02-16 04:00:00,2022-02-17 04:00:00,LONG,6,1.0,0.000848502122934403,0.04309274397982354,0.997639666097279
7d,2022-02-17 04:00:00,2022-02-27 04:00:00,SHORT,60,10.0,0.0042555318226999315,0.05035145388317177,0.9930064493191502
7d,2022-02-27 04:00:00,2022-02-28 04:00:00,LONG,6,1.0,-0.0034606511163998393,0.0483886712454639,0.9955252782259089
7d,2022-02-28 04:00:00,2022-03-01 04:00:00,SHORT,6,1.0,-0.003539924450187428,0.04591801663581594,0.9960344386732308
7d,2022-03-01 04:00:00,2022-03-05 04:00:00,LONG,24,4.0,-0.003036963367648398,0.045237633333942213,0.9970023004778824
7d,2022-03-05 04:00:00,2022-03-07 04:00:00,SHORT,12,2.0,0.0001794410997436855,0.04504699979429566,0.9970371502170581
7d,2022-03-07 04:00:00,2022-03-08 04:00:00,LONG,6,1.0,-0.002575878642397743,0.04657765014938184,0.9972317841218565
7d,2022-03-08 04:00:00,2022-03-15 04:00:00,SHORT,42,7.0,-0.0016101377871664511,0.04481971046371085,0.9919808058180637
7d,2022-03-15 04:00:00,2022-04-07 04:00:00,LONG,138,23.0,0.011041563576685893,0.06300286101838325,0.9964489960835772
7d,2022-04-07 04:00:00,2022-04-19 04:00:00,SHORT,72,12.0,0.004932907834314215,0.07452215804798429,0.9953301061858478
7d,2022-04-19 04:00:00,2022-04-21 04:00:00,LONG,12,2.0,0.001540871921214993,0.07100485511356318,0.9966060169331284
