adverse_instantaneous_move,absolute_exposure,equity_ratio_after_shock,maintenance_required,maintenance_headroom,survives_assumed_liquidation_rule
0.2,1.0,0.8,0.005,0.795,True
0.2,1.25,0.75,0.00625,0.74375,True
0.2,1.5,0.7,0.0075,0.6925,True
0.2,15.0,-2.0,0.075,-2.075,False
0.35,1.0,0.65,0.005,0.645,True
0.35,1.25,0.5625,0.00625,0.55625,True
0.35,1.5,0.4750000000000001,0.0075,0.4675000000000001,True
0.35,15.0,-4.25,0.075,-4.325,False
0.5,1.0,0.5,0.005,0.495,True
0.5,1.25,0.375,0.00625,0.36875,True
0.5,1.5,0.25,0.0075,0.2425,True
0.5,15.0,-6.5,0.075,-6.575,False
