projection_scope,liquidity_side,horizon_minutes,matched_trades,win_rate_cost2x,mean_gross_return,mean_net_return_cost2x,profit_factor_cost2x,positive_expectancy
invalid_higher_tf_projection,BSL,60,287,0.4146341463414634,0.0010431204806564962,-0.0011568795193435042,0.7563221235992476,0
invalid_higher_tf_projection,BSL,180,287,0.42857142857142855,0.0017235294268896654,-0.0004764705731103343,0.9293160660576134,0
invalid_higher_tf_projection,SSL,60,277,0.4332129963898917,0.002916981360967945,0.0007169813609679449,1.1322372760420232,1
invalid_higher_tf_projection,SSL,180,277,0.5054151624548736,0.002589116519856031,0.0003891165198560303,1.0503152296083078,1
native,BSL,60,597,0.39865996649916247,0.000985112632654102,-0.0012148873673458983,0.7389815729211789,0
native,BSL,180,597,0.40033500837520936,0.0017224281599684396,-0.0004775718400315606,0.9278828695262262,0
native,SSL,60,608,0.47368421052631576,0.0036493052579652826,0.0014493052579652823,1.2793149243376722,1
native,SSL,180,608,0.5394736842105263,0.004041275091264482,0.0018412750912644822,1.2584021739083433,1
nested_lower_tf,BSL,60,658,0.39361702127659576,0.0018688896936505312,-0.00033111030634946914,0.9180569825965191,0
nested_lower_tf,BSL,180,658,0.44984802431610943,0.002922284695930431,0.0007222846959304307,1.1317156620436721,1
nested_lower_tf,SSL,60,678,0.5737463126843658,0.009276841416876432,0.0070768414168764305,2.677865616084519,1
nested_lower_tf,SSL,180,678,0.5973451327433629,0.009152826950477996,0.006952826950477995,2.025900092769437,1
